layer,type,comparison_group,index,score,mean_deviant,mean_factual,ent_deviant,ent_factual
0,neuron_activation,Impossible_vs_Factual,3346,0.4757591485977173,0.0013375302078202367,-0.0006233371095731854,,
0,neuron_activation,Impossible_vs_Factual,6599,0.4553929269313812,0.0025723769795149565,-0.00032186563475988805,,
0,neuron_activation,Impossible_vs_Factual,3849,0.4482794404029846,0.010392332449555397,-0.0010457956232130527,,
0,neuron_activation,Impossible_vs_Factual,3682,0.4434143304824829,0.00450300145894289,0.003204160137102008,,
0,neuron_activation,Impossible_vs_Factual,2831,0.4391268491744995,0.0006539968308061361,-0.0008859670488163829,,
0,neuron_activation,Impossible_vs_Factual,2053,0.4320104718208313,0.0017940686084330082,-0.0013119351351633668,,
0,neuron_activation,Impossible_vs_Factual,3760,0.43009060621261597,0.01307350117713213,0.009808958508074284,,
0,neuron_activation,Impossible_vs_Factual,53,0.4205302894115448,0.003883657045662403,0.001960062887519598,,
0,neuron_activation,Impossible_vs_Factual,4675,0.4194015860557556,0.002048698952421546,9.008585038827732e-05,,
0,neuron_activation,Impossible_vs_Factual,2299,0.4178331792354584,-0.0036339566577225924,-0.00486679095774889,,
0,neuron_activation,Hallucinations_vs_Factual,1865,0.4412287175655365,0.00016802999016363174,-0.00019254523795098066,,
0,neuron_activation,Hallucinations_vs_Factual,3172,0.4356673061847687,0.003389048622921109,0.0016836001304909587,,
0,neuron_activation,Hallucinations_vs_Factual,337,0.4187425971031189,0.015301394276320934,0.005591575056314468,,
0,neuron_activation,Hallucinations_vs_Factual,4585,0.4165627360343933,-0.0715918019413948,-0.086395263671875,,
0,neuron_activation,Hallucinations_vs_Factual,2299,0.41320812702178955,-0.003557180520147085,-0.00486679095774889,,
0,neuron_activation,Hallucinations_vs_Factual,5381,0.41263705492019653,0.0006310201133601367,-0.0001766811910783872,,
0,neuron_activation,Hallucinations_vs_Factual,3605,0.41028887033462524,0.004915502388030291,-0.00423149298876524,,
0,neuron_activation,Hallucinations_vs_Factual,4641,0.4050755500793457,-8.441685349680483e-05,-0.001378122135065496,,
0,neuron_activation,Hallucinations_vs_Factual,5350,0.38974133133888245,0.0010250164195895195,-0.0029032689053565264,,
0,neuron_activation,Hallucinations_vs_Factual,7611,0.3741310238838196,0.017164574936032295,0.0010471880668774247,,
1,neuron_activation,Impossible_vs_Factual,5788,0.48688918352127075,0.01999511569738388,0.014256861992180347,,
1,neuron_activation,Impossible_vs_Factual,2381,0.4591981768608093,0.035866089165210724,0.028528593480587006,,
1,neuron_activation,Impossible_vs_Factual,6605,0.4553307890892029,0.003101196140050888,0.0014887198340147734,,
1,neuron_activation,Impossible_vs_Factual,6756,0.43215709924697876,0.0025256534572690725,0.001188291935250163,,
1,neuron_activation,Impossible_vs_Factual,5289,0.42471209168434143,0.007187124341726303,0.0039393045008182526,,
1,neuron_activation,Impossible_vs_Factual,5066,0.42213717103004456,2.431034045002889e-05,-0.0022164415568113327,,
1,neuron_activation,Impossible_vs_Factual,4843,0.4220549762248993,0.0010391429532319307,0.00012070238881278783,,
1,neuron_activation,Impossible_vs_Factual,68,0.4215530753135681,0.006091823801398277,0.004638785030692816,,
