model,layer,relative_depth,bucket,attn_entropy,attn_sink,res_proj_Impossible,attn_align_Impossible,mlp_align_Impossible,res_proj_Hallucination,attn_align_Hallucination,mlp_align_Hallucination,res_norm,logit_entropy,logit_conf
llama3.1-8B,0,0.0,Factual,1.28171875,0.515810546875,0.1095703125,0.08697265625,0.14390625,-0.2965234375,-0.28796875,-0.2884765625,0.946484375,11.75,8.404254913330078e-06
llama3.1-8B,0,0.0,Hallucinations,1.3730859375,0.50244140625,0.1117578125,0.090068359375,0.146328125,-0.26568359375,-0.266171875,-0.266640625,0.938671875,11.75,8.40306282043457e-06
llama3.1-8B,0,0.0,Impossible,1.2613671875,0.519951171875,0.13287109375,0.10130859375,0.1644921875,-0.2945703125,-0.2846875,-0.2861328125,0.949765625,11.75,8.410215377807617e-06
llama3.1-8B,1,0.03125,Factual,0.84501953125,0.736796875,-0.092578125,-0.063720703125,0.05908203125,-0.17755859375,-0.14708984375,-0.100927734375,1.50953125,,
llama3.1-8B,1,0.03125,Hallucinations,0.87087890625,0.7358984375,-0.08376953125,-0.0595849609375,0.0639892578125,-0.10927734375,-0.11962890625,-0.0665966796875,1.50515625,,
llama3.1-8B,1,0.03125,Impossible,0.8514453125,0.73646484375,-0.04360595703125,-0.0433447265625,0.08375,-0.171064453125,-0.144453125,-0.096171875,1.5065625,,
llama3.1-8B,2,0.0625,Factual,0.6244140625,0.8247265625,-0.4236328125,-0.19244140625,-0.003043060302734375,-0.551484375,-0.243359375,-0.098349609375,2.530625,11.75,9.175539016723633e-06
llama3.1-8B,2,0.0625,Hallucinations,0.6626171875,0.82181640625,-0.3534375,-0.1728125,0.01554443359375,-0.36828125,-0.19275390625,-0.05370361328125,2.50875,11.75,9.170770645141602e-06
llama3.1-8B,2,0.0625,Impossible,0.63404296875,0.8241796875,-0.28798828125,-0.158935546875,0.03492431640625,-0.4998828125,-0.229765625,-0.084560546875,2.5125,11.75,9.170770645141602e-06
llama3.1-8B,3,0.09375,Factual,0.53716796875,0.8862109375,-0.5080859375,-0.15080078125,-0.068671875,-0.666796875,-0.22400390625,-0.1164453125,2.880625,,
llama3.1-8B,3,0.09375,Hallucinations,0.569775390625,0.8826171875,-0.3954296875,-0.129658203125,-0.03470947265625,-0.399765625,-0.17044921875,-0.04594970703125,2.8496875,,
llama3.1-8B,3,0.09375,Impossible,0.538466796875,0.88611328125,-0.28109375,-0.10794921875,-0.000763092041015625,-0.57078125,-0.20728515625,-0.08630859375,2.8503125,,
llama3.1-8B,4,0.125,Factual,0.72396484375,0.83111328125,-0.27787109375,-0.039588623046875,-0.0759716796875,-0.70015625,-0.19169921875,-0.094140625,3.22,11.75,9.747743606567382e-06
llama3.1-8B,4,0.125,Hallucinations,0.77166015625,0.82443359375,-0.082335205078125,-0.00961395263671875,-0.022760238647460938,-0.30958984375,-0.12314453125,-0.003491973876953125,3.1796875,11.75,9.71674919128418e-06
llama3.1-8B,4,0.125,Impossible,0.7251953125,0.82958984375,0.132901611328125,0.02506072998046875,0.03010456085205078,-0.4948046875,-0.1591015625,-0.03965545654296875,3.215,11.75,9.740591049194335e-06
llama3.1-8B,5,0.15625,Factual,0.7219921875,0.83619140625,-0.3521484375,-0.012917327880859374,-0.1182177734375,-0.62953125,-0.10921875,-0.139482421875,3.56375,,
llama3.1-8B,5,0.15625,Hallucinations,0.78083984375,0.82548828125,-0.04284912109375,0.03258575439453125,-0.05212249755859375,-0.0793084716796875,-0.025133514404296876,-0.02955902099609375,3.539375,,
llama3.1-8B,5,0.15625,Impossible,0.76935546875,0.82119140625,0.31892578125,0.081328125,0.0288433837890625,-0.25248046875,-0.056767578125,-0.0531982421875,3.57375,,
llama3.1-8B,6,0.1875,Factual,0.85119140625,0.79580078125,-0.41560302734375,-0.01848785400390625,-0.1236279296875,-0.651171875,-0.11509765625,-0.12240234375,4.150625,11.75,1.0470151901245117e-05
llama3.1-8B,6,0.1875,Hallucinations,0.9477734375,0.772734375,-0.0320263671875,0.03883087158203125,-0.05053848266601563,0.0585394287109375,-0.00451171875,-0.001024932861328125,4.14375,11.75,1.0503530502319336e-05
llama3.1-8B,6,0.1875,Impossible,0.85271484375,0.79384765625,0.53532958984375,0.1178662109375,0.056324462890625,-0.137835693359375,-0.03656005859375,-0.028052501678466797,4.190625,11.75,1.0515451431274413e-05
llama3.1-8B,7,0.21875,Factual,1.19912109375,0.6699609375,-0.7486328125,-0.06733306884765625,-0.12221435546875,-1.060234375,-0.148642578125,-0.14841796875,4.68,,
llama3.1-8B,7,0.21875,Hallucinations,1.23330078125,0.6725390625,-0.283310546875,0.002266845703125,-0.0616876220703125,-0.151571044921875,-0.01119873046875,-0.03463104248046875,4.645625,,
llama3.1-8B,7,0.21875,Impossible,1.15640625,0.679765625,0.5239892578125,0.112225341796875,0.0552984619140625,-0.409169921875,-0.05837646484375,-0.05495849609375,4.71,,
llama3.1-8B,8,0.25,Factual,1.23421875,0.65890625,-1.024296875,-0.0710284423828125,-0.182275390625,-1.55125,-0.159609375,-0.19763671875,5.226875,11.75,1.1699199676513672e-05
llama3.1-8B,8,0.25,Hallucinations,1.3343359375,0.640234375,-0.41150390625,0.0035125732421875,-0.10946044921875,-0.4316748046875,-0.01757110595703125,-0.06402587890625,5.151875,11.75,1.155257225036621e-05
llama3.1-8B,8,0.25,Impossible,1.2660546875,0.64265625,0.5971484375,0.12945556640625,0.011089324951171875,-0.663017578125,-0.053388214111328124,-0.08842041015625,5.27125,11.75,1.1845827102661133e-05
llama3.1-8B,9,0.28125,Factual,1.3421875,0.6116015625,-1.25875,-0.090166015625,-0.200791015625,-1.55515625,-0.134775390625,-0.1962890625,5.693125,,
llama3.1-8B,9,0.28125,Hallucinations,1.43796875,0.597890625,-0.5782958984375,-0.00693603515625,-0.13509765625,-0.1960107421875,0.02630126953125,-0.059462890625,5.694375,,
llama3.1-8B,9,0.28125,Impossible,1.3441015625,0.608984375,0.64892578125,0.14982421875,-0.027592849731445313,-0.59865234375,-0.01685394287109375,-0.110537109375,5.725625,,
llama3.1-8B,10,0.3125,Factual,1.1059765625,0.68587890625,-1.567109375,-0.1549267578125,-0.171337890625,-2.0796875,-0.22025390625,-0.18248046875,6.285625,11.75,1.2928247451782227e-05
llama3.1-8B,10,0.3125,Hallucinations,1.27619140625,0.635703125,-0.79623046875,-0.0504132080078125,-0.1104931640625,-0.560302734375,-0.025020294189453125,-0.0557550048828125,6.20375,11.75,1.2729167938232422e-05
llama3.1-8B,10,0.3125,Impossible,1.20771484375,0.642421875,0.658896484375,0.131337890625,0.0104931640625,-0.949609375,-0.07746337890625,-0.0873046875,6.2875,11.75,1.3025999069213867e-05
llama3.1-8B,11,0.34375,Factual,1.4127734375,0.593388671875,-1.914375,-0.1732177734375,-0.153193359375,-2.14015625,-0.23099609375,-0.13,6.301875,,
llama3.1-8B,11,0.34375,Hallucinations,1.4558203125,0.6065234375,-0.97443359375,-0.065059814453125,-0.076993408203125,-0.477900390625,-0.025966796875,-0.01123271942138672,6.19875,,
llama3.1-8B,11,0.34375,Impossible,1.4061328125,0.597109375,0.503212890625,0.1221356201171875,0.02259857177734375,-0.773515625,-0.0664306640625,-0.02380279541015625,6.205,,
llama3.1-8B,12,0.375,Factual,1.6151171875,0.490546875,-2.63953125,-0.218310546875,-0.21013671875,-2.6353125,-0.2436328125,-0.19578125,7.09875,11.75,1.4255046844482422e-05
llama3.1-8B,12,0.375,Hallucinations,1.7641796875,0.46677734375,-1.448359375,-0.08747955322265626,-0.1166357421875,-0.74552734375,-0.017342529296875,-0.0697412109375,6.928125,11.75,1.3304948806762695e-05
llama3.1-8B,12,0.375,Impossible,1.5540625,0.508935546875,0.0946923828125,0.0997271728515625,-0.0152056884765625,-0.909375,-0.0498876953125,-0.0650244140625,6.824375,11.75,1.3173818588256837e-05
llama3.1-8B,13,0.40625,Factual,1.5447265625,0.478974609375,-2.585625,-0.2300390625,-0.159482421875,-3.2290625,-0.2930859375,-0.1837109375,8.025,,
llama3.1-8B,13,0.40625,Hallucinations,1.72765625,0.461708984375,-1.0748779296875,-0.0869281005859375,-0.05451629638671875,-0.8851953125,-0.0524713134765625,-0.03846771240234375,7.7425,,
llama3.1-8B,13,0.40625,Impossible,1.624375,0.4643359375,0.675322265625,0.10636962890625,0.04009033203125,-1.126171875,-0.073310546875,-0.0652685546875,7.84125,,
llama3.1-8B,14,0.4375,Factual,1.481171875,0.498984375,-3.4221875,-0.2359375,-0.20376953125,-3.985625,-0.31513671875,-0.20244140625,8.8675,11.75,1.648902893066406e-05
llama3.1-8B,14,0.4375,Hallucinations,1.637421875,0.49162109375,-1.651796875,-0.08219970703125,-0.095068359375,-1.3484375,-0.0627850341796875,-0.05918212890625,8.44,11.75,1.5815496444702147e-05
llama3.1-8B,14,0.4375,Impossible,1.59390625,0.48236328125,0.29543212890625,0.11377197265625,0.00325469970703125,-1.493203125,-0.08646484375,-0.063115234375,8.41625,11.75,1.5151500701904296e-05
llama3.1-8B,15,0.46875,Factual,1.4033203125,0.528974609375,-2.587578125,-0.1987548828125,-0.110615234375,-3.57125,-0.28625,-0.12896484375,9.625,,
llama3.1-8B,15,0.46875,Hallucinations,1.529296875,0.515986328125,-0.552998046875,-0.02929656982421875,-0.0141766357421875,-0.540322265625,-0.01715484619140625,0.007622833251953125,9.43,,
llama3.1-8B,15,0.46875,Impossible,1.4300390625,0.5084375,1.6573046875,0.1746514892578125,0.07437606811523438,-0.72265625,-0.0317010498046875,-0.01750579833984375,9.79625,,
llama3.1-8B,16,0.5,Factual,1.189609375,0.60267578125,-2.295703125,-0.1843115234375,-0.0788427734375,-3.790625,-0.28298828125,-0.11109375,11.11125,11.75,1.7833709716796874e-05
llama3.1-8B,16,0.5,Hallucinations,1.28921875,0.59673828125,-0.057314453125,-0.001622314453125,-0.0060760498046875,-0.395322265625,0.009786376953125,-0.00469757080078125,10.80125,11.75,1.811504364013672e-05
llama3.1-8B,16,0.5,Impossible,1.22390625,0.617109375,2.471171875,0.218798828125,0.081319580078125,-0.6467578125,-0.018694000244140627,-0.01064727783203125,11.20125,11.75,2.046823501586914e-05
