bucket,step,layer,relative_depth,LID_spatial,signal_magnitude,feature_entropy,spatial_variance,ratio_self_attn,ratio_cross_attn,ratio_mlp,LID_global
1_Coherent,0,0,0.0,15.800628662109375,34.79284477233887,7.001838254928589,0.197900390625,0.28843176960945127,0.034509414061903956,0.6770588159561157,4.87698221206665
1_Coherent,0,1,0.03571428571428571,17.175832557678223,34.41396827697754,7.016462564468384,0.2779541015625,0.185372257232666,0.044668400660157204,0.7699593424797058,4.926998615264893
1_Coherent,0,2,0.07142857142857142,15.378468990325928,33.66123046875,7.019076299667359,1.1224609375,0.3824284017086029,0.015489196125417947,0.6020824015140533,5.248907566070557
1_Coherent,0,3,0.10714285714285714,15.564465808868409,32.121789169311526,7.020028018951416,1.1765625,0.34889734387397764,0.024702151492238044,0.6264005064964294,5.909628391265869
1_Coherent,0,4,0.14285714285714285,15.58968563079834,22.84380168914795,6.82475471496582,1.17666015625,0.37016898691654204,0.022509864158928396,0.607321149110794,4.953158855438232
1_Coherent,0,5,0.17857142857142858,15.650624465942382,28.602769088745116,6.106556463241577,1.18544921875,0.3682987928390503,0.018309722281992437,0.6133914828300476,5.8487138748168945
1_Coherent,0,6,0.21428571428571427,15.539682292938233,19.740988349914552,6.10242600440979,1.1740234375,0.4287605077028275,0.016666208021342756,0.5545732796192169,6.316472053527832
1_Coherent,0,7,0.25,15.55216932296753,21.6398193359375,6.970820188522339,1.1783203125,0.45870187878608704,0.018151000421494246,0.5231471121311188,5.926311016082764
1_Coherent,0,8,0.2857142857142857,15.545112037658692,24.094313621520996,6.977947187423706,1.1802734375,0.4389315605163574,0.017132777720689774,0.5439356684684753,5.333118915557861
1_Coherent,0,9,0.32142857142857145,15.457226085662843,22.114062309265137,6.995515441894531,1.182421875,0.46088679432868956,0.02177507523447275,0.5173381268978119,5.953183650970459
1_Coherent,0,10,0.35714285714285715,15.550596046447755,26.10706672668457,6.984638738632202,1.18837890625,0.49480900168418884,0.022646920755505562,0.48254407942295074,5.203333377838135
1_Coherent,0,11,0.39285714285714285,15.625057125091553,30.644082069396973,6.967081880569458,1.1947265625,0.5238535225391387,0.02099008709192276,0.4551563858985901,4.941793441772461
1_Coherent,0,12,0.42857142857142855,15.691050720214843,43.18960342407227,6.903509902954101,1.2119140625,0.571593415737152,0.014538801927119493,0.41386777758598325,4.808962821960449
1_Coherent,0,13,0.4642857142857143,15.655908584594727,41.202348709106445,6.767786836624145,1.2306640625,0.524086308479309,0.016237064450979232,0.45967662930488584,5.901176452636719
1_Coherent,0,14,0.5,15.665768051147461,46.816273880004886,6.646987819671631,1.24111328125,0.5795365929603576,0.012078435346484184,0.4083849638700485,5.027088642120361
1_Coherent,0,15,0.5357142857142857,16.100904083251955,65.08675155639648,5.389727330207824,1.26962890625,0.6147008597850799,0.007955324649810792,0.37734380960464475,4.184349536895752
1_Coherent,0,16,0.5714285714285714,16.068221759796142,64.7146369934082,1.5054015934467315,1.36328125,0.5805387616157531,0.01119198026135564,0.40826925039291384,4.196135997772217
1_Coherent,0,17,0.6071428571428571,16.035991382598876,62.741943740844725,1.3746196627616882,1.36298828125,0.4717250317335129,0.009804142080247403,0.518470823764801,4.13965368270874
1_Coherent,0,18,0.6428571428571429,16.06097002029419,126.11544799804688,0.20906309708952903,1.3744140625,0.7075714886188507,0.004368700878694653,0.28805980682373045,3.7510180473327637
1_Coherent,0,19,0.6785714285714286,16.06170415878296,120.39817428588867,0.6875897437334061,1.41513671875,0.5281774580478669,0.010391830559819936,0.4614307045936584,4.5220770835876465
1_Coherent,0,20,0.7142857142857143,16.036283111572267,127.22913208007813,0.149383108317852,1.514453125,0.5636804580688477,0.007980417879298329,0.42833911776542666,4.132151126861572
1_Coherent,0,21,0.75,15.891703510284424,166.84996948242187,0.012290857546031476,1.6005859375,0.5416524887084961,0.005426336778327823,0.45292116701602936,3.3597683906555176
1_Coherent,0,22,0.7857142857142857,15.533108043670655,222.4888916015625,0.003929755033459515,2.0796875,0.6099893569946289,0.00541062573902309,0.3846000224351883,4.074095726013184
1_Coherent,0,23,0.8214285714285714,15.293134212493896,268.8902069091797,0.029126878641545773,2.58515625,0.5881410598754883,0.008094322867691517,0.4037646144628525,4.517467498779297
1_Coherent,0,24,0.8571428571428571,15.19840497970581,281.57679443359376,0.0175044072791934,3.156640625,0.524290120601654,0.00797556694597006,0.4677343100309372,5.0084733963012695
1_Coherent,0,25,0.8928571428571429,14.93586311340332,361.57152099609374,0.7860959887504577,4.34453125,0.6192327618598938,0.005980298295617104,0.37478694319725037,5.057979583740234
1_Coherent,0,26,0.9285714285714286,14.921892547607422,354.4753845214844,0.0027323330752551554,4.841015625,0.31911090910434725,0.003107486478984356,0.67778160572052,5.498416900634766
1_Coherent,0,27,0.9642857142857142,14.944710540771485,477.08612670898435,0.0,4.837109375,0.031640730984508994,0.0009179038228467107,0.9674413621425628,6.62060546875
1_Coherent,5,0,0.0,14.942687797546387,36.49518165588379,7.002357482910156,0.214990234375,0.3254071682691574,0.031590909510850904,0.6430019259452819,4.134509563446045
1_Coherent,5,1,0.03571428571428571,16.984969520568846,35.630286407470706,7.016437292098999,0.2953369140625,0.3093497812747955,0.043520018085837366,0.6471302092075348,4.298576354980469
1_Coherent,5,2,0.07142857142857142,16.035359859466553,34.52122039794922,7.020206356048584,1.02265625,0.38545480370521545,0.01680401023477316,0.5977411806583405,4.392434120178223
1_Coherent,5,3,0.10714285714285714,16.26939640045166,31.89344882965088,7.023294115066529,1.07568359375,0.40698111057281494,0.02323075421154499,0.5697881281375885,4.77980899810791
1_Coherent,5,4,0.14285714285714285,16.545948791503907,19.8696870803833,7.020783472061157,1.088671875,0.4626321136951447,0.020365055464208127,0.5170028328895568,4.311745643615723
1_Coherent,5,5,0.17857142857142858,16.63407154083252,23.571778106689454,7.01793360710144,1.09853515625,0.3879523158073425,0.018561709858477115,0.5934859633445739,5.143521308898926
1_Coherent,5,6,0.21428571428571427,17.192792701721192,16.759716796875,7.018093204498291,1.108984375,0.5762820601463318,0.013483168371021748,0.41023477017879484,4.985640048980713
