bucket,layer,relative_depth,feature_entropy,gini_sparsity,confusion_alignment,signal_magnitude,ratio_self_attn,ratio_cross_attn,ratio_mlp,visual_complexity_proxy,LID,explained_variance_dim
1_Coherent,0,0.0,7.002424275875091,0.4419839896261692,2.1304735577106477,36.48673419952392,0.3260617043077946,0.031589663308113816,0.6423486331105233,0.21444580078125,6.174130831385567,30
1_Coherent,1,0.03571428571428571,7.0165447235107425,0.4565907992422581,2.428330923318863,35.6491212272644,0.3102884137630463,0.04350702796131373,0.6462045580148696,0.29464599609375,6.918443820063913,49
1_Coherent,2,0.07142857142857142,7.0202526235580445,0.48359700068831446,-5.748603935241699,34.52401412963867,0.38511791482567787,0.016776072774082423,0.5981060129404068,1.0204345703125,7.81534107542049,34
1_Coherent,3,0.10714285714285714,7.023466939926148,0.5302162835001946,-8.21694862127304,31.909653606414796,0.4061171373724937,0.022909978786483407,0.5709728816151619,1.07373046875,7.542276465655484,58
1_Coherent,4,0.14285714285714285,7.020710670948029,0.5525656342506409,-11.601436948776245,19.75246537208557,0.4632490119338036,0.020987434424459935,0.5157635539770127,1.086904296875,5.775863722814588,71
1_Coherent,5,0.17857142857142858,7.018129863739014,0.584429855644703,-12.726105470657348,23.35916965484619,0.38712296918034556,0.017852049302309752,0.5950249800086022,1.0966015625,5.380235655070217,90
1_Coherent,6,0.21428571428571427,7.018524167537689,0.5806780895590782,-9.61671464920044,16.894717869758605,0.5769649749994278,0.014201849130913616,0.4088331764936447,1.10796875,5.114258689605063,93
1_Coherent,7,0.25,7.023254644870758,0.5846272075176239,-10.680552196502685,21.310489683151246,0.44932267934083936,0.02158149738330394,0.5290958219766617,1.1134814453125,4.901163654686764,105
1_Coherent,8,0.2857142857142857,7.020518741607666,0.5745781150460243,-12.259777240753174,25.672047004699706,0.46460908696055414,0.01985312959179282,0.5155377830564976,1.1209814453125,4.791602720266173,113
1_Coherent,9,0.32142857142857145,7.017412061691284,0.5634292301535606,-7.4956434631347655,28.60231237411499,0.5027250267565251,0.02237013153731823,0.4749048396945,1.13291015625,4.620048566879549,120
1_Coherent,10,0.35714285714285715,7.007816224098206,0.5490712496638298,-2.004276477470994,32.97904685974121,0.4827371528744698,0.029246016908437013,0.48801683112978933,1.14888671875,4.707684777368395,125
1_Coherent,11,0.39285714285714285,6.996882820129395,0.544077163040638,-5.691185545325279,37.35225242614746,0.5202661609649658,0.02631462967954576,0.45341920882463455,1.1711181640625,4.546425906536031,126
1_Coherent,12,0.42857142857142855,6.8885711216926575,0.5556023529171944,-7.498390549421311,51.54626726150513,0.5531861174106598,0.01875856607221067,0.42805531844496725,1.216728515625,4.477236391191615,125
1_Coherent,13,0.4642857142857143,6.141905663013458,0.5386324498057365,-27.53944655418396,51.80619325637817,0.5516139739751815,0.02231217860709876,0.42607384830713274,1.300908203125,4.286147078027091,123
