layer,type,comparison_group,index,score,mean_deviant,mean_factual,ent_deviant,ent_factual
0,neuron_activation,Impossible_vs_Factual,246,0.5158346891403198,0.0005753417499363422,0.0002951284986920655,,
0,neuron_activation,Impossible_vs_Factual,11142,0.5010442733764648,-0.00015372870257124305,-0.00027951024821959436,,
0,neuron_activation,Impossible_vs_Factual,9320,0.4867117404937744,0.0025433578994125128,0.0019713204819709063,,
0,neuron_activation,Impossible_vs_Factual,5402,0.47418707609176636,0.00017935765208676457,2.1201271010795608e-05,,
0,neuron_activation,Impossible_vs_Factual,12601,0.471568763256073,0.0016092532314360142,0.0013835448771715164,,
0,neuron_activation,Impossible_vs_Factual,2544,0.46471935510635376,-0.0014776489697396755,-0.0018803178099915385,,
0,neuron_activation,Impossible_vs_Factual,170,0.4476522207260132,0.0016187361907213926,0.0013771551894024014,,
0,neuron_activation,Impossible_vs_Factual,3931,0.4470599889755249,-0.0008715697913430631,-0.0011182917514815927,,
0,neuron_activation,Impossible_vs_Factual,3090,0.4447348117828369,0.003012449713423848,0.0020787990652024746,,
0,neuron_activation,Impossible_vs_Factual,7617,0.44436725974082947,-0.0016750565264374018,-0.00223641749471426,,
0,neuron_activation,Hallucinations_vs_Factual,2575,0.6280165910720825,-0.000216179687413387,-0.00039620648021809757,,
0,neuron_activation,Hallucinations_vs_Factual,2474,0.5534029006958008,-0.22639453411102295,-0.240298792719841,,
0,neuron_activation,Hallucinations_vs_Factual,9880,0.5379177927970886,-0.0009252705494873226,-0.0012872942024841905,,
0,neuron_activation,Hallucinations_vs_Factual,13519,0.5345125794410706,-0.003431793302297592,-0.003968506120145321,,
0,neuron_activation,Hallucinations_vs_Factual,3561,0.5320237874984741,-0.0004622940323315561,-0.0007777425926178694,,
0,neuron_activation,Hallucinations_vs_Factual,3724,0.5290116667747498,0.0017213363898918033,0.0013886945089325309,,
0,neuron_activation,Hallucinations_vs_Factual,1890,0.5267196297645569,-0.0015595322474837303,-0.0018224641680717468,,
0,neuron_activation,Hallucinations_vs_Factual,780,0.5228558778762817,-0.0017832859884947538,-0.0026373944710940123,,
0,neuron_activation,Hallucinations_vs_Factual,12595,0.5215631127357483,-0.0004665523301810026,-0.0006267013377510011,,
0,neuron_activation,Hallucinations_vs_Factual,8972,0.5174903869628906,0.0015289663570001721,0.0003829866764135659,,
1,neuron_activation,Impossible_vs_Factual,13122,0.5277923345565796,-0.01494293101131916,-0.01626916229724884,,
1,neuron_activation,Impossible_vs_Factual,12310,0.48348474502563477,0.02344641461968422,0.021213620901107788,,
1,neuron_activation,Impossible_vs_Factual,1367,0.4827432334423065,-0.0035873716697096825,-0.004207946825772524,,
1,neuron_activation,Impossible_vs_Factual,11998,0.48022300004959106,0.0024920955765992403,0.002180512063205242,,
1,neuron_activation,Impossible_vs_Factual,10051,0.47768181562423706,0.0017965848091989756,0.0011926597217097878,,
1,neuron_activation,Impossible_vs_Factual,1711,0.4487878084182739,0.007764588575810194,0.00702447397634387,,
1,neuron_activation,Impossible_vs_Factual,8479,0.4459306001663208,0.0021668397821485996,0.0017959557007998228,,
1,neuron_activation,Impossible_vs_Factual,5514,0.4456547796726227,0.0015600016340613365,0.0011234370758756995,,
1,neuron_activation,Impossible_vs_Factual,9859,0.43924856185913086,-0.01001269556581974,-0.011049864813685417,,
1,neuron_activation,Impossible_vs_Factual,4194,0.43841224908828735,0.0029751888941973448,0.002534150378778577,,
1,neuron_activation,Hallucinations_vs_Factual,11299,0.6122522950172424,-0.0030633225105702877,-0.004114957991987467,,
1,neuron_activation,Hallucinations_vs_Factual,10735,0.6063902378082275,0.002038878621533513,0.001472358824685216,,
1,neuron_activation,Hallucinations_vs_Factual,9015,0.602565348148346,-0.002343647414818406,-0.003009276930242777,,
1,neuron_activation,Hallucinations_vs_Factual,2180,0.5997391939163208,0.043127432465553284,0.039430178701877594,,
1,neuron_activation,Hallucinations_vs_Factual,9491,0.5924209356307983,-0.0027723934035748243,-0.003893219865858555,,
1,neuron_activation,Hallucinations_vs_Factual,6173,0.5873411297798157,-0.0027312629390507936,-0.0033168329391628504,,
1,neuron_activation,Hallucinations_vs_Factual,9205,0.5685634016990662,-0.0023936377838253975,-0.0032497260253876448,,
1,neuron_activation,Hallucinations_vs_Factual,8941,0.56498783826828,-0.027723146602511406,-0.030663084238767624,,
1,neuron_activation,Hallucinations_vs_Factual,11136,0.5649571418762207,-0.0007421569316647947,-0.0011875153286382556,,
1,neuron_activation,Hallucinations_vs_Factual,7422,0.5535811185836792,-0.0019593914039433002,-0.0027773594483733177,,
2,neuron_activation,Impossible_vs_Factual,12654,0.616400420665741,-0.0009827458998188376,-0.0017528688767924905,,
2,neuron_activation,Impossible_vs_Factual,13866,0.60817551612854,0.008148440159857273,0.006885741371661425,,
2,neuron_activation,Impossible_vs_Factual,11389,0.5760585069656372,0.01291076559573412,0.011039305478334427,,
2,neuron_activation,Impossible_vs_Factual,7594,0.5711410045623779,-0.0010412967531010509,-0.002096144249662757,,
2,neuron_activation,Impossible_vs_Factual,9673,0.5710510015487671,-0.0023141619749367237,-0.00325037632137537,,
2,neuron_activation,Impossible_vs_Factual,3974,0.5679783225059509,0.019361939281225204,0.01725732535123825,,
2,neuron_activation,Impossible_vs_Factual,4698,0.5553734302520752,0.017195437103509903,0.013436337932944298,,
2,neuron_activation,Impossible_vs_Factual,1770,0.5517051815986633,-0.004852171055972576,-0.007446632254868746,,
2,neuron_activation,Impossible_vs_Factual,7060,0.550346851348877,0.0011317242169752717,0.000348698056768626,,
2,neuron_activation,Impossible_vs_Factual,8169,0.5473721027374268,-0.004523604176938534,-0.006186170503497124,,
2,neuron_activation,Hallucinations_vs_Factual,3386,0.7880039215087891,-0.005947190336883068,-0.008995816111564636,,
2,neuron_activation,Hallucinations_vs_Factual,10103,0.7010567784309387,-0.0008024106500670314,-0.001718994346447289,,
2,neuron_activation,Hallucinations_vs_Factual,7696,0.6960383653640747,-0.0024312033783644438,-0.003596282796934247,,
2,neuron_activation,Hallucinations_vs_Factual,13824,0.6933082938194275,-0.0031175462063401937,-0.004371996503323317,,
2,neuron_activation,Hallucinations_vs_Factual,13854,0.6910410523414612,-0.002165714045986533,-0.0036027906462550163,,
2,neuron_activation,Hallucinations_vs_Factual,4140,0.6886298060417175,-0.006136093754321337,-0.011584188789129257,,
2,neuron_activation,Hallucinations_vs_Factual,7992,0.683225154876709,-0.0010400840546935797,-0.002058180049061775,,
2,neuron_activation,Hallucinations_vs_Factual,10953,0.6816122531890869,-0.001396321807987988,-0.0024534359108656645,,
2,neuron_activation,Hallucinations_vs_Factual,12922,0.678054690361023,-0.00228825188241899,-0.003514877986162901,,
2,neuron_activation,Hallucinations_vs_Factual,3983,0.6770195364952087,-0.0008003672119230032,-0.0015855736564844847,,
