model,layer,relative_depth,boundary_type,evaluated_on,boundary_norm,boundary_stability,boundary_entropy,boundary_max_prob,fisher_info,hessian_curvature,jac_amplification,grad_blockage,grad_alignment,vocab_alignment,betti_0,betti_1
mistralv1-7B,0,0.0,Impossible,Impossible,0.14415249634288638,,10.375,3.1948089599609375e-05,36.138270113626405,-0.09889979766884911,1.9736328125,0.020380682544782758,0.01679448105278425,0.1875,106,0
mistralv1-7B,0,0.0,Impossible,Factual,0.14415249634288638,,10.375,3.1948089599609375e-05,10.63118492180991,0.20236471735236763,1.94677734375,0.02299639757256955,0.010437587916385382,0.1875,4,0
mistralv1-7B,0,0.0,Hallucination,Hallucination,0.12182484260597569,,10.375,3.170967102050781e-05,7.290025566646638,-0.007998159873277979,1.71875,0.018482842424418777,-0.003877491384628229,0.1923828125,99,0
mistralv1-7B,0,0.0,Hallucination,Factual,0.12182484260597569,,10.375,3.170967102050781e-05,1.5123754530678826,0.21852993627320802,1.6728515625,0.019905089924577624,0.01384920649434207,0.1923828125,3,0
mistralv1-7B,1,0.03125,Impossible,Impossible,19.97213081188062,0.053611411396935385,10.375,3.266334533691406e-05,0.2013524772325363,-0.0007513918716405887,1.10595703125,-0.005455019083456136,-7.250557973748073e-05,0.765625,94,0
mistralv1-7B,1,0.03125,Impossible,Factual,19.97213081188062,0.053611411396935385,10.375,3.266334533691406e-05,0.06123462911695117,0.14295159486324244,1.09521484375,-0.003092038223257987,0.00362400354242709,0.765625,49,0
mistralv1-7B,1,0.03125,Hallucination,Hallucination,18.830846749860893,0.03984699619333833,10.375,3.266334533691406e-05,0.1517031981984701,-0.1006424313326816,1.11279296875,0.000444006931502372,-0.0018729654548224062,0.7734375,94,1
mistralv1-7B,1,0.03125,Hallucination,Factual,18.830846749860893,0.03984699619333833,10.375,3.266334533691406e-05,0.0658616468145558,0.1414535827403486,1.1064453125,-0.0030405798643187154,0.003352150150021771,0.7734375,49,0
mistralv1-7B,2,0.0625,Impossible,Impossible,19.9581952830757,0.9999571197427928,10.375,3.266334533691406e-05,0.18795040421231118,-0.04517685274774648,1.19482421875,-0.004494314991461579,0.0004969606961822137,0.765625,102,1
mistralv1-7B,2,0.0625,Impossible,Factual,19.9581952830757,0.9999571197427928,10.375,3.266334533691406e-05,0.0709110176939146,0.09472389801231189,1.18798828125,9.518816659692675e-05,0.005199218459893018,0.765625,51,1
mistralv1-7B,2,0.0625,Hallucination,Hallucination,18.81657831317276,0.9999507607119131,10.375,3.266334533691406e-05,0.1522462436245999,-0.136564722456042,1.1982421875,0.003911664221959654,-0.0030217933308449574,0.7734375,98,1
mistralv1-7B,2,0.0625,Hallucination,Factual,18.81657831317276,0.9999507607119131,10.375,3.266334533691406e-05,0.06595892146352889,0.10449998268971163,1.19091796875,0.0003618999726313632,0.0048704677319619805,0.7734375,50,1
mistralv1-7B,3,0.09375,Impossible,Impossible,19.95305329982828,0.9999761278407066,10.375,3.266334533691406e-05,0.16954868446978127,0.017754188190258858,0.960693359375,-0.004247738354024477,-0.00021951055168756284,0.765625,145,0
mistralv1-7B,3,0.09375,Impossible,Factual,19.95305329982828,0.9999761278407066,10.375,3.266334533691406e-05,0.04913222379110848,0.13433036333553228,0.958251953125,1.630579208722338e-05,0.001798444522137288,0.765625,69,0
mistralv1-7B,3,0.09375,Hallucination,Hallucination,18.83235537429472,0.9999657018923891,10.375,3.266334533691406e-05,0.14340268795741848,-0.07542650351620796,0.9619140625,0.0029875057880417444,-0.002326421112229582,0.7734375,105,0
mistralv1-7B,3,0.09375,Hallucination,Factual,18.83235537429472,0.9999657018923891,10.375,3.266334533691406e-05,0.05207987912638328,0.13261231952651015,0.95947265625,0.00012547856022138149,0.0013167338001949247,0.7734375,69,0
mistralv1-7B,4,0.125,Impossible,Impossible,19.942525558463952,0.9999501094816522,10.375,3.266334533691406e-05,0.1602497817245794,-0.020251773397361977,1.03662109375,-0.002698434305784758,-0.001865690377599094,0.765625,148,0
mistralv1-7B,4,0.125,Impossible,Factual,19.942525558463952,0.9999501094816522,10.375,3.266334533691406e-05,0.06013933533393526,0.0737878825155502,1.02734375,-0.0011838631507998798,-0.0008060814725467935,0.765625,69,0
mistralv1-7B,4,0.125,Hallucination,Hallucination,18.817109012724586,0.9999300274376148,10.375,3.266334533691406e-05,0.1406586688550944,-0.06814143118365167,1.03466796875,0.001259922904864652,-0.0027507627237355337,0.7734375,132,0
mistralv1-7B,4,0.125,Hallucination,Factual,18.817109012724586,0.9999300274376148,10.375,3.266334533691406e-05,0.05776511999090546,0.07509226320378762,1.0234375,-0.001175349418190308,-0.0008201791242754553,0.7734375,68,0
mistralv1-7B,5,0.15625,Impossible,Impossible,19.938582210997776,0.9999333865526764,10.375,3.266334533691406e-05,0.1483526951272127,-0.07057228393978414,1.072265625,0.003992192752775736,-0.003086047654505819,0.765625,122,0
mistralv1-7B,5,0.15625,Impossible,Factual,19.938582210997776,0.9999333865526764,10.375,3.266334533691406e-05,0.07370571263202082,0.024349189781839184,1.0888671875,0.006612456520088017,-0.004240601754645468,0.765625,72,0
mistralv1-7B,5,0.15625,Hallucination,Hallucination,18.815183041043966,0.9999117876347733,10.375,3.266334533691406e-05,0.14163570635564082,-0.11799065129529093,1.060546875,0.005297939118463546,-0.003531783899234142,0.7734375,111,0
