model,layer,relative_depth,bucket,attn_entropy,attn_sink,res_proj_Impossible,attn_align_Impossible,mlp_align_Impossible,res_proj_Hallucination,attn_align_Hallucination,mlp_align_Hallucination,res_norm,logit_entropy,logit_conf
qwen2.5-7B,24,0.8571428571428571,Impossible,0.9082578125,0.664390625,153.244,0.177123046875,0.3729140625,112.384,0.06020263671875,0.2921171875,295.952,0.17986376953125,0.9365
qwen2.5-7B,25,0.8928571428571429,Factual,1.0870703125,0.5893203125,66.5185625,-0.1140313720703125,-0.017532958984375,54.13771875,-0.15648583984375,-0.03247625732421875,360.416,,
qwen2.5-7B,25,0.8928571428571429,Hallucinations,1.17575,0.5600234375,156.62,0.03584869384765625,0.21196484375,156.708,0.0362786865234375,0.2165234375,357.232,,
qwen2.5-7B,25,0.8928571428571429,Impossible,1.0795,0.5898125,197.776,0.149173828125,0.2994296875,169.144,0.0409327392578125,0.255875,360.368,,
qwen2.5-7B,26,0.9285714285714286,Factual,0.9826015625,0.6315234375,29.3185,-0.1265341796875,-0.1085008544921875,23.6075625,-0.1600712890625,-0.1214510498046875,462.208,0.25938494873046875,0.899
qwen2.5-7B,26,0.9285714285714286,Hallucinations,1.0380390625,0.622671875,148.816,0.0281868896484375,0.061335693359375,157.024,0.0239793701171875,0.0721029052734375,447.6,0.24939501953125,0.8935625
qwen2.5-7B,26,0.9285714285714286,Impossible,0.9402734375,0.64506640625,195.608,0.12907568359375,0.12952099609375,172.412,0.03354864501953125,0.08903759765625,445.744,0.3058125,0.86471875
qwen2.5-7B,27,0.9642857142857143,Factual,1.3306484375,0.42210546875,-12.7410625,-0.0583333740234375,0.0330618896484375,-22.5343125,-0.07530914306640625,0.013561920166015625,329.28,3.880125,0.299578125
qwen2.5-7B,27,0.9642857142857143,Hallucinations,1.3739453125,0.420787109375,97.21,0.0185611572265625,0.276078125,93.958,0.017244659423828124,0.26828125,339.216,4.34525,0.2570546875
qwen2.5-7B,27,0.9642857142857143,Impossible,1.1965078125,0.46789453125,144.33,0.0591396484375,0.3800078125,125.058,0.024264892578125,0.336953125,350.672,4.91525,0.19298046875
