step,layer,magnitude,fisher_info,null_align,null_rand_align,null_ratio
64,0,1.2897392218347903,0.0009006004697750204,0.22993119060993195,0.21086108684539795,1.090439174716371
64,2,2.9353266502244244,0.0008187926959106336,0.22933107614517212,0.2146945744752884,1.0681735932893581
64,4,4.151470686791552,0.0006824329852395919,0.2335970401763916,0.21322675049304962,1.0955334569452744
64,6,5.1013668516104556,0.000575662689629299,0.2378394901752472,0.20796288549900055,1.1436631515325222
64,8,5.777630221627847,0.0004503428794895783,0.22953923046588898,0.21767359972000122,1.0545111107026286
64,10,6.347227535174336,0.0004247291796122259,0.2207460254430771,0.24810796976089478,0.8897175885405681
64,12,6.798673281684521,0.0005462528554042841,0.21534904837608337,0.22599349915981293,0.952899301191396
64,14,7.2437850937536785,0.0004950772580562009,0.21651247143745422,0.2461910992860794,0.8794488151109525
64,16,7.6139336642065345,0.0004147630337141992,0.2124817818403244,0.20961232483386993,1.0136893476804827
64,18,7.886346037038808,0.00034974688115031375,0.21880537271499634,0.23403406143188477,0.9349296014492732
64,20,8.067904802721504,0.00037784864636784517,0.21565048396587372,0.21977728605270386,0.9812227953935908
64,22,8.285483894585331,0.0002654045382706736,0.21506546437740326,0.22561663389205933,0.9532340754940166
64,24,8.487010975046722,0.00028155770202750453,0.21480320394039154,0.20900915563106537,1.0277214998745419
64,26,8.63529655302949,0.0002518716111059318,0.21424543857574463,0.21781931817531586,0.9835924535385462
64,28,8.798890009450776,0.00013273894153060273,0.2142581343650818,0.2091531753540039,1.0244077479485056
64,30,8.934302697769434,0.00017923871019523795,0.21702468395233154,0.21359467506408691,1.0160584896189804
