step,layer,magnitude,fisher_info,null_align,null_rand_align,null_ratio
512,0,1.3312327273260145,0.0007331598496004181,0.22650158405303955,0.20664146542549133,1.096109062576311
512,2,2.8075354594009476,0.0007909696384996076,0.24019013345241547,0.2110523283481598,1.1380596186464678
512,4,3.9002747714082324,0.0013978214571346576,0.26700928807258606,0.23672811686992645,1.127915392878247
512,6,5.033597177804625,0.001219078767700362,0.29898813366889954,0.20412535965442657,1.4647280117979589
512,8,5.972815350694955,0.000567958566199611,0.32362210750579834,0.22111907601356506,1.4635648442307174
512,10,6.893723166769298,0.0004924248459561066,0.3380002975463867,0.22320732474327087,1.5142885495395824
512,12,7.956778263928587,0.0003837494987975599,0.38274890184402466,0.23071108758449554,1.6589965579562806
512,14,9.474597192312595,0.00039149755339208046,0.4427740275859833,0.22537803649902344,1.9645837389452903
512,16,10.840124088071704,0.0003959486497509426,0.46838071942329407,0.23164544999599457,2.0219724471575873
512,18,12.024395829299994,0.0003181464832876612,0.49409791827201843,0.23259806632995605,2.1242563360215163
512,20,13.498688111247995,0.0004025098329487296,0.5257081389427185,0.22849710285663605,2.300721234841379
512,22,14.591532247623963,0.0004055710306816634,0.5462636947631836,0.2163560539484024,2.5248366397393367
512,24,15.839124798048365,0.0003964310137313472,0.5747177004814148,0.22661928832530975,2.5360493459866658
512,26,17.02855928934168,0.00023457711738551665,0.5965797901153564,0.20760120451450348,2.873681723749326
512,28,18.460991778612676,0.00033423326769503684,0.6284799575805664,0.23860667645931244,2.633957960743725
512,30,20.014057154098808,0.0002719110755753322,0.6590543985366821,0.2296566367149353,2.869738079831784
