layer,type,comparison_group,index,score,mean_deviant,mean_factual,ent_deviant,ent_factual
0,neuron_activation,Impossible_vs_Factual,6183,0.5163365602493286,0.007365136407315731,-0.021197529509663582,,
0,neuron_activation,Impossible_vs_Factual,4545,0.4579058885574341,0.07938635349273682,0.040667902678251266,,
0,neuron_activation,Impossible_vs_Factual,9081,0.45210352540016174,0.018093788996338844,0.002867582021281123,,
0,neuron_activation,Impossible_vs_Factual,6983,0.433298259973526,-0.0473770871758461,-0.0747508630156517,,
0,neuron_activation,Impossible_vs_Factual,7845,0.42537882924079895,-0.03424074128270149,-0.062312860041856766,,
0,neuron_activation,Impossible_vs_Factual,10574,0.4243006408214569,0.04790845140814781,0.01693384349346161,,
0,neuron_activation,Impossible_vs_Factual,10057,0.42223432660102844,-0.013347224332392216,-0.027725666761398315,,
0,neuron_activation,Impossible_vs_Factual,6510,0.41924038529396057,-0.02322215586900711,-0.043069880455732346,,
0,neuron_activation,Impossible_vs_Factual,4567,0.4169805347919464,-0.18407349288463593,-0.25016504526138306,,
0,neuron_activation,Impossible_vs_Factual,1323,0.41546913981437683,-0.0007039870833978057,-0.033219389617443085,,
0,neuron_activation,Hallucinations_vs_Factual,6983,0.5417879819869995,-0.03679262474179268,-0.0747508630156517,,
0,neuron_activation,Hallucinations_vs_Factual,10748,0.47797054052352905,-0.04422716796398163,-0.06914415955543518,,
0,neuron_activation,Hallucinations_vs_Factual,718,0.4634203314781189,-0.06392277032136917,-0.08488866686820984,,
0,neuron_activation,Hallucinations_vs_Factual,5624,0.4514995217323303,-0.051290713250637054,-0.08195416629314423,,
0,neuron_activation,Hallucinations_vs_Factual,4405,0.4419017732143402,-0.006694503128528595,-0.04048855975270271,,
0,neuron_activation,Hallucinations_vs_Factual,5615,0.4396802484989166,0.04735078290104866,0.009151558391749859,,
0,neuron_activation,Hallucinations_vs_Factual,7145,0.43706342577934265,-0.050113365054130554,-0.08143932372331619,,
0,neuron_activation,Hallucinations_vs_Factual,10057,0.4331306517124176,-0.013236460275948048,-0.027725666761398315,,
0,neuron_activation,Hallucinations_vs_Factual,667,0.4312461018562317,0.040211088955402374,0.0017848295392468572,,
0,neuron_activation,Hallucinations_vs_Factual,832,0.4293246567249298,-0.03539939969778061,-0.06851515173912048,,
1,neuron_activation,Impossible_vs_Factual,6612,0.41344037652015686,-0.0007538260542787611,-0.001125917537137866,,
1,neuron_activation,Impossible_vs_Factual,8051,0.38365721702575684,-0.005836683325469494,-0.00979529693722725,,
1,neuron_activation,Impossible_vs_Factual,6184,0.3747614026069641,-0.002643821993842721,-0.0037751621566712856,,
1,neuron_activation,Impossible_vs_Factual,8945,0.3666231632232666,-0.0020958364475518465,-0.0032791108824312687,,
1,neuron_activation,Impossible_vs_Factual,9330,0.35605356097221375,-0.000876649864949286,-0.0012691295705735683,,
1,neuron_activation,Impossible_vs_Factual,7783,0.33823591470718384,-0.0016744995955377817,-0.0026358033064752817,,
1,neuron_activation,Impossible_vs_Factual,1679,0.33568593859672546,-0.0023519250098615885,-0.003575935959815979,,
1,neuron_activation,Impossible_vs_Factual,1504,0.3318556845188141,-0.0014789050910621881,-0.0020300596952438354,,
1,neuron_activation,Impossible_vs_Factual,7408,0.3313451409339905,-0.002394523937255144,-0.003833322785794735,,
1,neuron_activation,Impossible_vs_Factual,10871,0.3290458023548126,-0.0023219117429107428,-0.0036693383008241653,,
1,neuron_activation,Hallucinations_vs_Factual,5492,0.5113557577133179,-0.0021559700835496187,-0.003276558592915535,,
1,neuron_activation,Hallucinations_vs_Factual,1504,0.48238763213157654,-0.0011836776975542307,-0.0020300596952438354,,
1,neuron_activation,Hallucinations_vs_Factual,10304,0.47943586111068726,-0.002633187919855118,-0.003759559476748109,,
1,neuron_activation,Hallucinations_vs_Factual,5141,0.4379414916038513,-0.0006354335928335786,-0.0010889283148571849,,
1,neuron_activation,Hallucinations_vs_Factual,8051,0.4270602762699127,-0.005095912609249353,-0.00979529693722725,,
1,neuron_activation,Hallucinations_vs_Factual,9330,0.42268437147140503,-0.0007648941827937961,-0.0012691295705735683,,
1,neuron_activation,Hallucinations_vs_Factual,6612,0.4200079143047333,-0.000697686686180532,-0.001125917537137866,,
1,neuron_activation,Hallucinations_vs_Factual,4701,0.41728854179382324,-0.02538587711751461,-0.03910417482256889,,
1,neuron_activation,Hallucinations_vs_Factual,3465,0.4154897928237915,-0.0015372600173577666,-0.0025829619262367487,,
1,neuron_activation,Hallucinations_vs_Factual,8945,0.4146462380886078,-0.0019072337308898568,-0.0032791108824312687,,
2,neuron_activation,Impossible_vs_Factual,1773,0.4833884835243225,-0.004815445281565189,-0.007745758164674044,,
2,neuron_activation,Impossible_vs_Factual,931,0.44543740153312683,-0.00878498237580061,-0.014993986114859581,,
2,neuron_activation,Impossible_vs_Factual,9134,0.4419151246547699,-0.005363035947084427,-0.010461593978106976,,
2,neuron_activation,Impossible_vs_Factual,7990,0.39739763736724854,-0.0009341298136860132,-0.0014112436911091208,,
2,neuron_activation,Impossible_vs_Factual,5113,0.3933532238006592,-0.020775755867362022,-0.027818970382213593,,
2,neuron_activation,Impossible_vs_Factual,6384,0.39197081327438354,-0.0024649316910654306,-0.004312614444643259,,
2,neuron_activation,Impossible_vs_Factual,1710,0.38889080286026,-0.018662692978978157,-0.03062748722732067,,
2,neuron_activation,Impossible_vs_Factual,5761,0.38801777362823486,-0.027119383215904236,-0.047242533415555954,,
2,neuron_activation,Impossible_vs_Factual,3223,0.38632261753082275,-0.004038136452436447,-0.009000197984278202,,
2,neuron_activation,Impossible_vs_Factual,6918,0.38419705629348755,-0.009733250364661217,-0.014475858770310879,,
2,neuron_activation,Hallucinations_vs_Factual,5113,0.5259597301483154,-0.018304476514458656,-0.027818970382213593,,
2,neuron_activation,Hallucinations_vs_Factual,507,0.5075095891952515,-0.003648331854492426,-0.0056889974512159824,,
2,neuron_activation,Hallucinations_vs_Factual,1773,0.5068713426589966,-0.004694018978625536,-0.007745758164674044,,
2,neuron_activation,Hallucinations_vs_Factual,10289,0.5024973750114441,-0.12492132931947708,-0.23507735133171082,,
2,neuron_activation,Hallucinations_vs_Factual,6954,0.49185678362846375,-0.014302574098110199,-0.023461895063519478,,
2,neuron_activation,Hallucinations_vs_Factual,5511,0.4906506836414337,-0.0024903363082557917,-0.005099273286759853,,
2,neuron_activation,Hallucinations_vs_Factual,931,0.48807644844055176,-0.00823233649134636,-0.014993986114859581,,
2,neuron_activation,Hallucinations_vs_Factual,98,0.4804161787033081,-0.005837178323417902,-0.010278531350195408,,
2,neuron_activation,Hallucinations_vs_Factual,10599,0.4663033187389374,0.06626799702644348,-0.06056857481598854,,
2,neuron_activation,Hallucinations_vs_Factual,5761,0.46595311164855957,-0.02307763509452343,-0.047242533415555954,,
3,neuron_activation,Impossible_vs_Factual,5796,0.5897402763366699,-0.04310208559036255,-0.11863603442907333,,
3,neuron_activation,Impossible_vs_Factual,3774,0.5495440363883972,-0.00457820063456893,-0.010991120710968971,,
3,neuron_activation,Impossible_vs_Factual,3098,0.4566973149776459,-0.08167722821235657,-0.12525977194309235,,
3,neuron_activation,Impossible_vs_Factual,8970,0.4461401402950287,-0.034817494451999664,-0.1184982880949974,,
3,neuron_activation,Impossible_vs_Factual,5962,0.4333569407463074,-0.021051306277513504,-0.029759444296360016,,
3,neuron_activation,Impossible_vs_Factual,4729,0.4328903257846832,-0.011871123686432838,-0.03822476416826248,,
3,neuron_activation,Impossible_vs_Factual,3526,0.43062251806259155,0.08600064367055893,0.0220181867480278,,
3,neuron_activation,Impossible_vs_Factual,3372,0.4234640598297119,-0.00588267995044589,-0.01771875098347664,,
3,neuron_activation,Impossible_vs_Factual,5300,0.4168243706226349,-0.0030605376232415438,-0.01401993166655302,,
3,neuron_activation,Impossible_vs_Factual,5536,0.416387140750885,0.09795989841222763,0.03622213378548622,,
3,neuron_activation,Hallucinations_vs_Factual,7691,0.5417622327804565,-0.07312796264886856,-0.18076322972774506,,
3,neuron_activation,Hallucinations_vs_Factual,1140,0.5042411684989929,-0.07430869340896606,-0.1386122703552246,,
3,neuron_activation,Hallucinations_vs_Factual,403,0.5025320053100586,-0.011299541220068932,-0.04176223650574684,,
3,neuron_activation,Hallucinations_vs_Factual,996,0.500263512134552,-0.1087658479809761,-0.30432039499282837,,
3,neuron_activation,Hallucinations_vs_Factual,8970,0.4836990535259247,-0.03345027193427086,-0.1184982880949974,,
3,neuron_activation,Hallucinations_vs_Factual,5931,0.47680023312568665,-0.030378000810742378,-0.05605025961995125,,
3,neuron_activation,Hallucinations_vs_Factual,4729,0.47575825452804565,-0.00864595640450716,-0.03822476416826248,,
3,neuron_activation,Hallucinations_vs_Factual,5061,0.47510677576065063,-0.009164995513856411,-0.02423073537647724,,
3,neuron_activation,Hallucinations_vs_Factual,5796,0.47394102811813354,-0.05145728588104248,-0.11863603442907333,,
3,neuron_activation,Hallucinations_vs_Factual,4747,0.47291576862335205,-0.01142971497029066,-0.031882718205451965,,
4,neuron_activation,Impossible_vs_Factual,1813,0.48987725377082825,0.039908669888973236,0.010397323407232761,,
4,neuron_activation,Impossible_vs_Factual,8519,0.4657458961009979,0.017850637435913086,0.007536046206951141,,
4,neuron_activation,Impossible_vs_Factual,4557,0.46012231707572937,-4.800009628525004e-05,-0.0001897633046610281,,
4,neuron_activation,Impossible_vs_Factual,1145,0.46000969409942627,-0.0014056399231776595,-0.004571153782308102,,
4,neuron_activation,Impossible_vs_Factual,8583,0.4595823585987091,0.0013144552940502763,-0.0010337873827666044,,
4,neuron_activation,Impossible_vs_Factual,194,0.4585224986076355,-0.04115647077560425,-0.0860791951417923,,
4,neuron_activation,Impossible_vs_Factual,6822,0.4582307040691376,-0.011325489729642868,-0.021324150264263153,,
4,neuron_activation,Impossible_vs_Factual,7999,0.4576227366924286,-0.04193161055445671,-0.09099764376878738,,
4,neuron_activation,Impossible_vs_Factual,7450,0.4551832377910614,-0.00022797551355324686,-0.0005174858379177749,,
4,neuron_activation,Impossible_vs_Factual,4239,0.4539584517478943,0.24472418427467346,0.15735425055027008,,
4,neuron_activation,Hallucinations_vs_Factual,3389,0.6175004839897156,0.006434875074774027,-0.022699473425745964,,
4,neuron_activation,Hallucinations_vs_Factual,7999,0.603260338306427,-0.030439939349889755,-0.09099764376878738,,
4,neuron_activation,Hallucinations_vs_Factual,780,0.5768507719039917,-0.06491553783416748,-0.1521899253129959,,
4,neuron_activation,Hallucinations_vs_Factual,964,0.572786808013916,-0.052294209599494934,-0.14766709506511688,,
4,neuron_activation,Hallucinations_vs_Factual,972,0.5515042543411255,-0.0018629247788339853,-0.007217563688755035,,
4,neuron_activation,Hallucinations_vs_Factual,8948,0.5469153523445129,-0.003919606562703848,-0.009936744347214699,,
4,neuron_activation,Hallucinations_vs_Factual,10482,0.546415388584137,-0.02554035745561123,-0.1036379486322403,,
4,neuron_activation,Hallucinations_vs_Factual,4245,0.5459995865821838,-0.0074528176337480545,-0.017948726192116737,,
4,neuron_activation,Hallucinations_vs_Factual,4557,0.5403783321380615,-2.696445881156251e-05,-0.0001897633046610281,,
4,neuron_activation,Hallucinations_vs_Factual,1848,0.5377917885780334,-0.01873268000781536,-0.04547255486249924,,
5,neuron_activation,Impossible_vs_Factual,987,0.6150171160697937,-0.07092433422803879,-0.13307613134384155,,
