model,layer,relative_depth,bucket,lid,isotropy,entropy
qwen2.5it-3B,0,0.0,1_Factual,11.996773008365707,0.5219537762111005,230.11037
qwen2.5it-3B,0,0.0,2_Impossible,15.154870072508867,0.4682973570827851,380.3243
qwen2.5it-3B,0,0.0,3_Hallucination,14.856334581342011,0.4364852096451749,378.47736
qwen2.5it-3B,1,0.027777777777777776,1_Factual,11.93526001925795,0.5175542020698168,266.18152
qwen2.5it-3B,1,0.027777777777777776,2_Impossible,15.509614324540864,0.46513421674365946,484.76413
qwen2.5it-3B,1,0.027777777777777776,3_Hallucination,14.408252259231128,0.5798152101913928,481.25247
qwen2.5it-3B,2,0.05555555555555555,1_Factual,10.275415656703773,0.5472785782141502,265.83597
qwen2.5it-3B,2,0.05555555555555555,2_Impossible,15.107288853299469,0.5966931316232735,508.79575
qwen2.5it-3B,2,0.05555555555555555,3_Hallucination,13.873686143966433,0.6239804422564562,500.73825
qwen2.5it-3B,3,0.08333333333333333,1_Factual,8.645088913518267,0.509084915283896,238.05568
qwen2.5it-3B,3,0.08333333333333333,2_Impossible,12.651969531804518,0.6854498959251576,440.11502
qwen2.5it-3B,3,0.08333333333333333,3_Hallucination,10.500257905522883,0.8996635759694063,431.22903
qwen2.5it-3B,4,0.1111111111111111,1_Factual,8.359856400496891,0.5675492101605077,238.39398
qwen2.5it-3B,4,0.1111111111111111,2_Impossible,12.394069977618,0.601892661204921,449.86163
qwen2.5it-3B,4,0.1111111111111111,3_Hallucination,10.16810452421664,0.8557153717409411,432.94803
qwen2.5it-3B,5,0.1388888888888889,1_Factual,8.429259553542968,0.5670772398847711,241.50468
qwen2.5it-3B,5,0.1388888888888889,2_Impossible,12.518355226411677,0.5542470081293217,462.00366
qwen2.5it-3B,5,0.1388888888888889,3_Hallucination,10.0972514313949,0.7934678399608304,442.36905
qwen2.5it-3B,6,0.16666666666666666,1_Factual,8.27011414894886,0.7082382953771971,230.73753
qwen2.5it-3B,6,0.16666666666666666,2_Impossible,11.500234412178678,0.41057084501664626,437.54272
qwen2.5it-3B,6,0.16666666666666666,3_Hallucination,9.890094280927363,0.834664208347633,421.1334
qwen2.5it-3B,7,0.19444444444444445,1_Factual,7.675911590519493,0.42799735308615305,223.60234
qwen2.5it-3B,7,0.19444444444444445,2_Impossible,11.875994308928288,0.5700776657098063,446.74005
qwen2.5it-3B,7,0.19444444444444445,3_Hallucination,9.933005255034553,0.8542332979761833,417.64337
qwen2.5it-3B,8,0.2222222222222222,1_Factual,7.413874475147102,0.6659938477423126,215.36964
