model,layer,relative_depth,boundary_type,evaluated_on,boundary_norm,boundary_stability,boundary_entropy,boundary_max_prob,fisher_info,hessian_curvature,jac_amplification,grad_blockage,grad_alignment,vocab_alignment,betti_0,betti_1
qwen3-8B,0,0.0,Impossible,Impossible,0.17979111682587814,,11.9375,7.361173629760742e-06,1.8995575851583921,0.025624627310498048,2.7548828125,-0.002736884431215003,0.005974372121272609,0.1591796875,1,0
qwen3-8B,0,0.0,Impossible,Factual,0.17979111682587814,,11.9375,7.361173629760742e-06,3.2233195482545796,0.013091543216288677,2.6279296875,-0.00660305489145685,0.01147257588309003,0.1591796875,1,0
qwen3-8B,0,0.0,Hallucination,Hallucination,0.27133642611571684,,11.9375,7.3909759521484375e-06,3.5603818120480497,0.019000684989276335,2.4072265625,-0.002891038791858591,0.004702127567725256,0.154296875,1,0
qwen3-8B,0,0.0,Hallucination,Factual,0.27133642611571684,,11.9375,7.3909759521484375e-06,6.523069379193794,0.0155549137328529,2.34765625,0.016862615710124373,-0.004838982509681955,0.154296875,1,0
qwen3-8B,1,0.027777777777777776,Impossible,Impossible,0.3800164264619662,0.5428813836014347,11.9375,7.420778274536133e-06,1.8301875874521003,0.003662243599858052,1.07958984375,-0.005870791792403907,0.0053910919959889725,0.1484375,1,0
qwen3-8B,1,0.027777777777777776,Impossible,Factual,0.3800164264619662,0.5428813836014347,11.9375,7.420778274536133e-06,5.885910115727856,0.0018966112661017683,1.09912109375,0.0044230397179489955,0.004787814010342117,0.1484375,1,0
qwen3-8B,1,0.027777777777777776,Hallucination,Hallucination,0.5955163294236441,0.46985644262317106,11.9375,7.420778274536133e-06,3.1548055505908223,0.015338074306488408,1.1552734375,0.002798765475745313,-0.00829575963143725,0.1591796875,1,0
qwen3-8B,1,0.027777777777777776,Hallucination,Factual,0.5955163294236441,0.46985644262317106,11.9375,7.420778274536133e-06,3.6556840846713254,-0.009784419594059264,1.236328125,0.024257962591946125,-0.0034145707468269393,0.1591796875,1,0
qwen3-8B,2,0.05555555555555555,Impossible,Impossible,0.6317290823128772,0.6379621245169715,11.9375,7.361173629760742e-06,2.024839255062042,0.006451873353342974,1.0859375,-0.008744691556785256,0.0030636110313935205,0.1650390625,1,0
qwen3-8B,2,0.05555555555555555,Impossible,Factual,0.6317290823128772,0.6379621245169715,11.9375,7.361173629760742e-06,1.9410559302798898,-0.018002075885692307,1.1318359375,0.006875676306663081,0.008752290887059644,0.1650390625,1,0
