model,layer,relative_depth,bucket,attn_entropy,attn_sink,res_proj_Impossible,attn_align_Impossible,mlp_align_Impossible,res_proj_Hallucination,attn_align_Hallucination,mlp_align_Hallucination,res_norm,logit_entropy,logit_conf
qwen3-8B,20,0.5555555555555556,Hallucinations,1.3579375,0.548453125,-10.877140625,-0.0342110595703125,-0.1168699951171875,-17.523,-0.038228515625,-0.05676416015625,98.364,8.77525,0.07337060546875
qwen3-8B,20,0.5555555555555556,Impossible,1.2776875,0.5603203125,2.90863671875,0.125282958984375,0.008089035034179688,-17.4655,-0.03590240478515625,-0.04844879150390625,100.148,7.502,0.186775390625
qwen3-8B,21,0.5833333333333334,Factual,1.306984375,0.56378515625,-17.67575,-0.20092578125,-0.1807548828125,-38.641,-0.279984375,-0.1644765625,108.248,,
qwen3-8B,21,0.5833333333333334,Hallucinations,1.43903125,0.5384609375,-0.2884375,-0.02171246337890625,-0.0497645263671875,-13.86225,-0.02816259765625,-0.003173065185546875,104.384,,
qwen3-8B,21,0.5833333333333334,Impossible,1.3293828125,0.57383984375,17.235,0.15128125,0.09657421875,-14.125,-0.0230496826171875,-0.01734161376953125,109.264,,
qwen3-8B,22,0.6111111111111112,Factual,1.1898125,0.557921875,-30.5185,-0.192515625,-0.23827734375,-57.894,-0.3050078125,-0.3012890625,133.4,5.3193125,0.208591796875
qwen3-8B,22,0.6111111111111112,Hallucinations,1.286609375,0.53649609375,-7.3065,-0.013079833984375,-0.0879964599609375,-25.678,-0.060072998046875,-0.09794140625,126.256,6.337375,0.159623046875
qwen3-8B,22,0.6111111111111112,Impossible,1.229765625,0.5375078125,14.195375,0.1700390625,0.0414412841796875,-25.702,-0.04932568359375,-0.096833984375,133.256,3.6670625,0.37387890625
qwen3-8B,23,0.6388888888888888,Factual,1.337390625,0.4982734375,-48.098,-0.24116796875,-0.225642578125,-80.832,-0.3375859375,-0.3171875,179.376,,
qwen3-8B,23,0.6388888888888888,Hallucinations,1.43615625,0.506078125,-16.10809375,-0.05081298828125,-0.08227734375,-35.632,-0.07563790893554688,-0.1097265625,167.04,,
qwen3-8B,23,0.6388888888888888,Impossible,1.383765625,0.51256640625,13.7183125,0.144375,0.06593505859375,-37.093,-0.072244140625,-0.12169140625,174.176,,
qwen3-8B,24,0.6666666666666666,Factual,1.2071953125,0.580328125,-24.84884375,-0.237828125,-0.07881118774414063,-74.296,-0.3385859375,-0.18892578125,230.232,1.263015625,0.635328125
qwen3-8B,24,0.6666666666666666,Hallucinations,1.2538203125,0.596921875,12.8804453125,-0.03782818603515625,0.04114324951171875,-18.841,-0.0441265869140625,-0.02805029296875,220.824,1.46846875,0.5958125
qwen3-8B,24,0.6666666666666666,Impossible,1.19946875,0.6000078125,51.292,0.1720078125,0.15270703125,-22.4625,-0.05536920166015625,-0.05160498046875,233.264,1.290015625,0.6058125
qwen3-8B,25,0.6944444444444444,Factual,0.848796875,0.7249765625,-11.03359375,-0.2182353515625,-0.0548597412109375,-70.264,-0.3384609375,-0.1534296875,266.0,,
qwen3-8B,25,0.6944444444444444,Hallucinations,0.91935546875,0.7170234375,30.571625,-0.01279791259765625,0.04300669860839844,-8.2027578125,-0.027950927734375,-0.013561676025390625,259.256,,
qwen3-8B,25,0.6944444444444444,Impossible,0.9330703125,0.7060625,75.598,0.20258984375,0.1535234375,-12.2143125,-0.050084228515625,-0.024160797119140626,275.12,,
qwen3-8B,26,0.7222222222222222,Factual,0.78128125,0.7623125,-0.08253125,-0.2194443359375,-0.00394586181640625,-62.446,-0.3247265625,-0.0966552734375,308.544,0.544353515625,0.80659375
qwen3-8B,26,0.7222222222222222,Hallucinations,0.80056640625,0.7731484375,47.442,-0.0239576416015625,0.093419921875,8.5323125,-0.01853173828125,0.0302030029296875,301.216,0.71694140625,0.7561875
qwen3-8B,26,0.7222222222222222,Impossible,0.73862109375,0.794953125,98.308,0.1931328125,0.1820546875,3.436359375,-0.047149658203125,0.011784881591796874,317.104,0.7011015625,0.749609375
qwen3-8B,27,0.75,Factual,0.7279296875,0.794265625,18.73996484375,-0.194506103515625,-0.015683013916015624,-51.4045,-0.2976015625,-0.107525146484375,357.52,,
qwen3-8B,27,0.75,Hallucinations,0.80908203125,0.773484375,77.182,-0.005468505859375,0.119990234375,33.40925,-0.0011185302734375,0.065682373046875,349.584,,
qwen3-8B,27,0.75,Impossible,0.855890625,0.74846875,134.424,0.1986484375,0.2111796875,28.3661875,-0.03549563598632813,0.05174267578125,369.136,,
qwen3-8B,28,0.7777777777777778,Factual,0.8981796875,0.744640625,64.919,-0.1770169677734375,0.014638427734375,-13.65696875,-0.28390625,-0.0549483642578125,408.352,0.27408302688598635,0.89690625
