model,layer,relative_depth,bucket,attn_entropy,attn_sink,res_proj_Impossible,attn_align_Impossible,mlp_align_Impossible,res_proj_Hallucination,attn_align_Hallucination,mlp_align_Hallucination,res_norm,logit_entropy,logit_conf
qwen3-32B,0,0.0,Factual,1.2828125,0.01127301025390625,-15.8375,-0.0554736328125,-0.536125,-9.176,-0.126296875,-0.241578125,31.043,11.853,5.342864990234375e-05
qwen3-32B,0,0.0,Hallucinations,1.382953125,0.0101329345703125,-15.596,-0.049232421875,-0.5315625,-8.55825,-0.0960234375,-0.227796875,30.86,11.853,5.350875854492187e-05
qwen3-32B,0,0.0,Impossible,1.2751875,0.01152740478515625,-15.2665,-0.0343935546875,-0.5261875,-8.945,-0.11946875,-0.236921875,30.744,11.862,5.309295654296875e-05
qwen3-32B,1,0.015625,Factual,1.3025625,0.026572265625,-18.134,-0.2099921875,-0.36428125,-18.706,-0.2046875,-0.44309375,42.136,,
qwen3-32B,1,0.015625,Hallucinations,1.355765625,0.025854736328125,-17.67,-0.20696875,-0.3616875,-17.687,-0.19484375,-0.43959375,41.688,,
qwen3-32B,1,0.015625,Impossible,1.31375,0.02714404296875,-17.448,-0.2030234375,-0.362484375,-18.371,-0.2023515625,-0.442234375,41.826,,
qwen3-32B,2,0.03125,Factual,1.194015625,0.028804931640625,-11.5395,-0.1021171875,-0.1848203125,-13.7855,-0.106640625,-0.2088828125,46.422,11.7485,0.00010807418823242187
qwen3-32B,2,0.03125,Hallucinations,1.241171875,0.0271533203125,-10.972,-0.0974921875,-0.1815703125,-12.2825,-0.09351171875,-0.2037109375,46.006,11.75,0.00010654067993164062
qwen3-32B,2,0.03125,Impossible,1.201046875,0.028401123046875,-10.459,-0.09236328125,-0.1839609375,-13.3785,-0.10320703125,-0.20815625,46.156,11.75,0.00010382843017578125
qwen3-32B,3,0.046875,Factual,1.0785546875,0.01311865234375,-10.215,-0.0897109375,-0.0659537353515625,-13.0055,-0.11343359375,-0.14997265625,50.242,,
qwen3-32B,3,0.046875,Hallucinations,1.1290859375,0.0127218017578125,-9.31275,-0.0837265625,-0.023539306640625,-11.0355,-0.0965390625,-0.10912060546875,49.778,,
qwen3-32B,3,0.046875,Impossible,1.0775390625,0.0129537353515625,-8.72575,-0.0764375,-0.0179432373046875,-12.3315,-0.1088359375,-0.112021484375,49.954,,
qwen3-32B,4,0.0625,Factual,1.14378125,0.0191497802734375,-9.73425,-0.07041015625,-0.038714111328125,-17.506,-0.161359375,-0.2,57.822,11.669,0.0001534576416015625
