,step,layer,bucket,lid,isotropy,entropy
0,Final,0,1_Factual,10.023963290597681,0.2633077660258248,114.7743
1,Final,0,2_Impossible,10.373383563014182,0.6327894040243808,128.28084
2,Final,0,3_Hallucination,9.366391567073338,0.5830917749113048,124.63612
3,Final,2,1_Factual,9.415421816990445,0.43092161116895555,125.74063
4,Final,2,2_Impossible,11.592839114928811,0.7668118938379341,136.80658
5,Final,2,3_Hallucination,9.785912931747534,0.5436498502409073,128.40219
6,Final,4,1_Factual,8.51207512366906,0.5047648639394913,128.24467
7,Final,4,2_Impossible,14.394991311596828,0.6965939428794117,155.08916
8,Final,4,3_Hallucination,9.48515332551743,0.3948868630881857,135.26091
9,Final,6,1_Factual,7.3799526376208515,0.6232878856200201,121.23345
10,Final,6,2_Impossible,12.703458894046971,0.5237462932572555,151.83867
11,Final,6,3_Hallucination,8.175140138754864,0.4062417157316239,126.31906
12,Final,8,1_Factual,6.983697286691877,0.7474862764862528,117.93195
13,Final,8,2_Impossible,11.470513134825342,0.4885447134898731,148.52849
14,Final,8,3_Hallucination,7.3420198139639865,0.3894092774918927,123.6014
15,Final,10,1_Factual,6.666134069120876,0.7725750746427433,114.995186
16,Final,10,2_Impossible,11.00463146047699,0.5368342766002488,147.4787
17,Final,10,3_Hallucination,6.952611783672097,0.41712516514257014,121.76275
18,Final,12,1_Factual,6.540741508216879,0.8636874144186795,114.170654
19,Final,12,2_Impossible,10.614943177648405,0.5362940808922663,146.62871
20,Final,12,3_Hallucination,6.86568855204408,0.4254197974559307,122.29837
21,Final,14,1_Factual,6.475480185885933,0.8539810556828774,113.05548
22,Final,14,2_Impossible,10.602799508523105,0.5726387370958761,147.30652
23,Final,14,3_Hallucination,6.713185524857297,0.42204379258120495,122.6355
24,Final,16,1_Factual,6.911678131641065,0.8338063258440478,117.794426
25,Final,16,2_Impossible,11.593477556071132,0.5351844627084137,153.27054
26,Final,16,3_Hallucination,7.42847269969784,0.43672100741250086,126.07258
27,Final,18,1_Factual,7.235201713897785,0.7567160489264253,121.23426
28,Final,18,2_Impossible,11.768572310567516,0.5328945853160433,156.11806
29,Final,18,3_Hallucination,7.7753115550793295,0.46255601200428353,129.61392
30,Final,20,1_Factual,8.689665583239005,0.7311934695295346,132.43509
31,Final,20,2_Impossible,13.57813127103622,0.5589949306645333,161.90788
32,Final,20,3_Hallucination,8.842083701458703,0.5092895484350034,135.78365
33,Final,22,1_Factual,10.976969053358198,0.6793418179493133,155.21974
34,Final,22,2_Impossible,15.885800870454771,0.36326279129170785,165.71225
35,Final,22,3_Hallucination,13.181382743284766,0.6208653806727998,139.97975
36,Final,24,1_Factual,12.095523017987576,0.6905014689453542,160.90657
37,Final,24,2_Impossible,17.353980436496965,0.4231558389668691,168.95444
38,Final,24,3_Hallucination,17.588415611749795,0.6137031379108991,141.10529
39,Final,26,1_Factual,13.054205028835911,0.8161183886338298,165.15367
40,Final,26,2_Impossible,18.224706695427553,0.43019591205605096,170.28429
41,Final,26,3_Hallucination,19.8787728368954,0.5877076532521337,143.2216
42,Final,28,1_Factual,15.167263742222936,0.8878734613962818,168.99811
43,Final,28,2_Impossible,18.51157271390485,0.46868782126599795,171.061
44,Final,28,3_Hallucination,17.552385143162873,0.6058037890683521,147.4392
45,Final,30,1_Factual,19.086144969351896,0.7884388900897402,174.42796
46,Final,30,2_Impossible,19.783621678367208,0.4906426926874294,173.67969
47,Final,30,3_Hallucination,16.472277338695022,0.6604572625187035,167.26595
