,step,layer,bucket,lid,isotropy,entropy
0,20000,0,1_Factual,13.900204668334707,0.23858211304485266,140.59947
1,20000,0,2_Impossible,14.366359210258583,0.38706613743150453,155.94173
2,20000,0,3_Hallucination,14.603087387895302,0.5199217044520589,154.69011
3,20000,2,1_Factual,10.848218584525517,0.28408633681590745,134.99178
4,20000,2,2_Impossible,11.02980224749088,0.6335797213855865,148.62376
5,20000,2,3_Hallucination,11.862325033232544,0.9212255570075432,143.72603
6,20000,4,1_Factual,8.183658985201149,0.371556786985745,126.70266
7,20000,4,2_Impossible,10.473307688625093,0.5335699637641241,145.30696
8,20000,4,3_Hallucination,9.419097602191863,0.8539277360174925,131.67769
9,20000,6,1_Factual,8.032283093396796,0.37953040092923895,124.51464
10,20000,6,2_Impossible,10.76479607768093,0.5218532498094873,143.44804
11,20000,6,3_Hallucination,8.969971579712148,0.8032083158024488,130.07405
12,20000,8,1_Factual,8.06163926041309,0.36307840529681495,124.56149
13,20000,8,2_Impossible,10.672560352034006,0.5025508512644955,143.949
14,20000,8,3_Hallucination,8.905464705775646,0.787854553756933,130.39693
15,20000,10,1_Factual,8.025813531532597,0.35300766288264346,124.145706
16,20000,10,2_Impossible,10.604257898606363,0.49386191845282085,143.91873
17,20000,10,3_Hallucination,8.83801243865101,0.7367848671817498,130.36378
18,20000,12,1_Factual,8.00500627341016,0.35241582602789484,124.4614
19,20000,12,2_Impossible,10.56444827119622,0.4731642110303287,144.22527
20,20000,12,3_Hallucination,8.814798477256094,0.7117292672068374,130.37746
21,20000,14,1_Factual,7.887102376737576,0.37377426364291017,124.5618
22,20000,14,2_Impossible,10.482583458136089,0.486254770776366,144.37375
23,20000,14,3_Hallucination,8.748191262686356,0.6469345566761303,130.53908
24,20000,16,1_Factual,7.693254684371072,0.3910522470460462,124.268196
25,20000,16,2_Impossible,10.383171665046483,0.45734241698311073,144.18822
26,20000,16,3_Hallucination,8.651127934958673,0.6558248644380581,130.35072
27,20000,18,1_Factual,7.9570961334514365,0.3757488042816435,126.486855
28,20000,18,2_Impossible,11.13590009848398,0.4109528464333663,147.4892
29,20000,18,3_Hallucination,8.886709092454842,0.7228375916103811,131.52953
30,20000,20,1_Factual,7.544713437412282,0.44289295186873345,126.66153
31,20000,20,2_Impossible,11.279970343280425,0.39655004181542663,148.0267
32,20000,20,3_Hallucination,8.647275955808764,0.7457444221235768,131.79172
33,20000,22,1_Factual,8.337169323642986,0.5133463261093343,131.0365
34,20000,22,2_Impossible,13.935109863881028,0.511912323969701,154.0478
35,20000,22,3_Hallucination,10.852028010431384,0.7883614349261975,136.166
36,20000,24,1_Factual,8.568640022913655,0.5678595053288735,133.00662
37,20000,24,2_Impossible,14.29506999943186,0.515980245899276,157.64395
38,20000,24,3_Hallucination,10.85183861964203,0.7998542821740906,137.86636
39,20000,26,1_Factual,8.726556726218343,0.5777521227687776,135.5141
40,20000,26,2_Impossible,14.717665354017704,0.49888029762390323,160.24771
41,20000,26,3_Hallucination,11.139395061287582,0.7861013684882734,139.39714
42,20000,28,1_Factual,8.946395302047357,0.5701741473618642,138.4394
43,20000,28,2_Impossible,14.996001479734959,0.49095684672840256,161.95676
44,20000,28,3_Hallucination,11.30606261890029,0.7745881784130846,141.1981
45,20000,30,1_Factual,10.219728936734972,0.6154035385844266,150.09918
46,20000,30,2_Impossible,16.527523352026723,0.5311256212982961,166.90231
47,20000,30,3_Hallucination,13.928337289663146,0.798601149119968,155.73863
