,step,layer,boundary,norm,boundary_entropy,max_prob,fisher,hessian,jacobian,grad_block,grad_align,vocab_align
0,100000,0,2_Impossible,0.32120997,10.8125,2.1219253540039062e-05,0.6363435445307343,-0.03749714581806017,1.765625,0.0020522041886579245,0.0,0.1728515625
1,100000,0,3_Hallucination,0.46023855,10.8125,2.1338462829589844e-05,0.8332716332600609,0.04446311780214565,1.3798828125,-0.0015050423389766365,0.0,0.169921875
2,100000,2,2_Impossible,0.7204623,10.8125,2.1576881408691406e-05,0.25807787715288677,-0.02582449482764901,1.326171875,0.0005663064075633883,0.0,0.1923828125
3,100000,2,3_Hallucination,0.88465565,10.8125,2.1338462829589844e-05,0.33322460984124813,0.03687284362136331,1.3515625,0.006325805152300745,0.0,0.1787109375
4,100000,4,2_Impossible,2.727891,10.8125,2.193450927734375e-05,0.19085968640762335,-0.005744357330460154,1.361328125,0.009780259861145169,0.0,0.2216796875
5,100000,4,3_Hallucination,2.294212,10.8125,2.1457672119140625e-05,0.26228925762918837,-0.013694211078101214,1.3115234375,0.0012621023051906377,0.0,0.2021484375
6,100000,6,2_Impossible,3.6927176,10.8125,2.205371856689453e-05,0.1676492973616567,-0.012977954381213373,1.2275390625,0.010524453013204038,0.0,0.2099609375
7,100000,6,3_Hallucination,2.8815863,10.8125,2.1338462829589844e-05,0.22848273766831725,-0.005628714600839835,1.1982421875,-0.0029588330653496087,0.0,0.208984375
8,100000,8,2_Impossible,3.9617972,10.8125,2.1338462829589844e-05,0.17049232724257,-0.012350366400065028,1.1279296875,0.01384369598235935,0.0,0.2158203125
9,100000,8,3_Hallucination,3.024087,10.8125,2.1338462829589844e-05,0.2021607840263109,0.003264472589499808,1.12109375,-0.002449613792123273,0.0,0.212890625
10,100000,10,2_Impossible,4.663594,10.8125,2.1338462829589844e-05,0.13454962193010692,-0.0055765011282326755,1.1181640625,0.01447214517975226,0.0,0.2275390625
11,100000,10,3_Hallucination,3.4487803,10.8125,2.09808349609375e-05,0.17884030704428777,0.011006651346459225,1.0849609375,-0.004242240393068641,0.0,0.224609375
12,100000,12,2_Impossible,4.9802804,10.8125,2.193450927734375e-05,0.1139498878135474,-0.00024552183708654663,1.1142578125,0.014897620218107477,0.0,0.201171875
13,100000,12,3_Hallucination,3.6511638,10.8125,2.1696090698242188e-05,0.15956319311131323,0.017346710449614285,1.0732421875,-0.008205361431464553,0.0,0.1982421875
14,100000,14,2_Impossible,5.1812563,10.8125,2.2292137145996094e-05,0.1395491438656099,-0.004268928611312539,1.0791015625,0.026949064224027097,0.0,0.1806640625
15,100000,14,3_Hallucination,3.6913724,10.8125,2.1338462829589844e-05,0.13910563397201492,0.00791309994486318,1.0654296875,-0.0017241588502656668,0.0,0.1875
16,100000,16,2_Impossible,5.648475,10.8125,2.2172927856445312e-05,0.12182637397755872,-0.0027981545602150486,1.09375,0.030490958830341697,0.0,0.2080078125
17,100000,16,3_Hallucination,4.0586953,10.8125,2.1219253540039062e-05,0.14253803032262866,0.006360465796009122,1.0693359375,-0.0051390692533459514,0.0,0.2099609375
18,100000,18,2_Impossible,6.123158,10.8125,2.2411346435546875e-05,0.08638945491470158,0.00466183786136762,1.0791015625,0.034451407846063375,0.0,0.2138671875
19,100000,18,3_Hallucination,4.2119746,10.8125,2.1219253540039062e-05,0.11153477770755084,0.007190244613442795,1.052734375,0.003512655181111768,0.0,0.1865234375
20,100000,20,2_Impossible,6.9414597,10.8125,2.2411346435546875e-05,0.09248894729279826,-0.0042894806625527315,1.0693359375,0.047945729456841946,0.0,0.2294921875
21,100000,20,3_Hallucination,5.0328617,10.8125,2.09808349609375e-05,0.09361211040350505,0.010134033718462518,1.0498046875,0.006482434750068933,0.0,0.2216796875
22,100000,22,2_Impossible,8.970859,10.8125,2.3603439331054688e-05,0.08103986647191862,-0.0024021558879344,1.15234375,0.06310339691117406,0.0,0.275390625
23,100000,22,3_Hallucination,6.751188,10.8125,2.1338462829589844e-05,0.08725296120744931,0.00531102294803034,1.1142578125,0.01773842505645007,0.0,0.28515625
24,100000,24,2_Impossible,9.397314,10.8125,2.3484230041503906e-05,0.07568129796401832,-0.00026102137348647347,1.0927734375,0.07159609906375408,0.0,0.27734375
25,100000,24,3_Hallucination,7.093893,10.8125,2.1576881408691406e-05,0.07449194238216503,0.003993267144717081,1.0927734375,0.03182224673219025,0.0,0.271484375
26,100000,26,2_Impossible,9.884647,10.8125,2.3484230041503906e-05,0.06333523249446858,-0.0021604435383785333,1.09765625,0.07491248566657305,0.0,0.265625
27,100000,26,3_Hallucination,7.400918,10.8125,2.1576881408691406e-05,0.05715858941518361,0.006621961678726024,1.0947265625,0.03766344487667084,0.0,0.2470703125
28,100000,28,2_Impossible,10.796583,10.8125,2.372264862060547e-05,0.05279682352414051,-0.0016538930034702224,1.1044921875,0.09144878573715687,0.0,0.26953125
29,100000,28,3_Hallucination,7.9207816,10.8125,2.1576881408691406e-05,0.05171794835804445,0.004544659587251048,1.1005859375,0.05862101027742028,0.0,0.248046875
30,100000,30,2_Impossible,13.02244,10.8125,2.372264862060547e-05,0.04858310475942226,0.0026097564327419694,1.244140625,0.09886551182717085,0.0,0.31640625
31,100000,30,3_Hallucination,9.418897,10.8125,2.193450927734375e-05,0.03261629198017833,0.005053228369921894,1.2587890625,0.06313002435490489,0.0,0.291015625
