,step,layer,boundary,norm,boundary_entropy,max_prob,fisher,hessian,jacobian,grad_block,grad_align,vocab_align
0,20000,0,2_Impossible,0.80348945,10.8125,2.1338462829589844e-05,0.157526817744414,-0.019530555482693515,4.3515625,0.006958752463106066,0.0,0.1826171875
1,20000,0,3_Hallucination,1.1542358,10.8125,2.1338462829589844e-05,0.17172932270769783,0.015228046133282939,4.51171875,-0.008245309174526483,0.0,0.171875
2,20000,2,2_Impossible,2.068864,10.8125,2.1338462829589844e-05,0.14320441861688263,-0.006206980225713445,1.3369140625,0.007448801246937364,0.0,0.171875
3,20000,2,3_Hallucination,2.102046,10.8125,2.1338462829589844e-05,0.15022088669865521,0.0013539954455298899,1.310546875,-0.0033000846742652357,0.0,0.1728515625
4,20000,4,2_Impossible,9.5527115,10.8125,2.181529998779297e-05,0.13807808611669597,-0.000543010575388081,1.205078125,-0.00046490548993460834,0.0,0.3359375
5,20000,4,3_Hallucination,6.690978,10.8125,2.1338462829589844e-05,0.14498354444045863,0.0001171753304022435,1.193359375,0.0012463987804949284,0.0,0.3125
6,20000,6,2_Impossible,11.961513,10.8125,2.205371856689453e-05,0.10856336820444627,-0.0009607737718602106,1.1455078125,0.011512915923958644,0.0,0.33203125
7,20000,6,3_Hallucination,8.086385,10.8125,2.1457672119140625e-05,0.11466890095078845,0.0023511940901193152,1.13671875,0.01157555598183535,0.0,0.31640625
8,20000,8,2_Impossible,13.056197,10.8125,2.193450927734375e-05,0.10275116735738142,0.0015321571972364274,1.111328125,0.006489037070423365,0.0,0.3046875
9,20000,8,3_Hallucination,8.853795,10.8125,2.1457672119140625e-05,0.09963904984984208,0.0011808353589775143,1.103515625,0.014543370518367738,0.0,0.29296875
10,20000,10,2_Impossible,14.169779,10.8125,2.205371856689453e-05,0.08047496023539068,0.00048046815901762823,1.1171875,0.009920258758938871,0.0,0.30859375
11,20000,10,3_Hallucination,9.633916,10.8125,2.1457672119140625e-05,0.11602872683129288,0.0014431303851519459,1.1064453125,0.015643645747331902,0.0,0.287109375
12,20000,12,2_Impossible,15.078124,10.8125,2.2292137145996094e-05,0.08557489022379941,0.0003092681308533639,1.1064453125,0.014351442136103287,0.0,0.29296875
13,20000,12,3_Hallucination,10.211784,10.8125,2.1457672119140625e-05,0.08103256688571016,0.0011783236892741675,1.0908203125,0.020701664849184453,0.0,0.263671875
14,20000,14,2_Impossible,16.02714,10.8125,2.276897430419922e-05,0.08384609571929025,-0.00039878373984441316,1.1005859375,0.01655333023518324,0.0,0.27734375
15,20000,14,3_Hallucination,10.822378,10.8125,2.1576881408691406e-05,0.09638581237337485,-0.00012917414375842012,1.0908203125,0.014157869445625693,0.0,0.263671875
16,20000,16,2_Impossible,17.1638,10.8125,2.3126602172851562e-05,0.06435007085195636,-0.0008455525489956611,1.115234375,0.011204056179849431,0.0,0.2734375
17,20000,16,3_Hallucination,11.5021515,10.8125,2.1576881408691406e-05,0.08507032013133493,-3.5343357530180284e-05,1.08984375,0.005599286174401641,0.0,0.265625
18,20000,18,2_Impossible,18.844563,10.8125,2.3245811462402344e-05,0.06746441360263343,-0.001171244609288765,1.1201171875,0.018777281511574984,0.0,0.296875
19,20000,18,3_Hallucination,12.827965,10.8125,2.1696090698242188e-05,0.07778773539045283,-0.00017187630533476187,1.115234375,0.007076944108121097,0.0,0.294921875
20,20000,20,2_Impossible,21.781458,10.8125,2.3484230041503906e-05,0.060743532644742,-0.0009318554906450215,1.1748046875,0.046249432023614645,0.0,0.345703125
21,20000,20,3_Hallucination,14.825254,10.8125,2.2649765014648438e-05,0.07466507088528636,0.0005032034299149957,1.1416015625,0.026089062681421638,0.0,0.345703125
22,20000,22,2_Impossible,27.598755,10.8125,2.3245811462402344e-05,0.05023693990478443,-0.0006057495871105128,1.1552734375,0.057990731205791235,0.0,0.451171875
23,20000,22,3_Hallucination,19.729824,10.8125,2.3245811462402344e-05,0.05819491510152885,-0.0002106606495615457,1.1484375,0.04544603917747736,0.0,0.4296875
24,20000,24,2_Impossible,28.916042,10.8125,2.3365020751953125e-05,0.04420785626903049,-0.0006187086521265365,1.138671875,0.0648228763602674,0.0,0.447265625
25,20000,24,3_Hallucination,21.225214,10.8125,2.3245811462402344e-05,0.04620520985809731,0.000223925871170994,1.1318359375,0.05755462124943733,0.0,0.4296875
26,20000,26,2_Impossible,29.754747,10.8125,2.3603439331054688e-05,0.039136453433795036,-7.673510660208576e-05,1.1259765625,0.07445693481713533,0.0,0.43359375
27,20000,26,3_Hallucination,21.97573,10.8125,2.3365020751953125e-05,0.04335775888437764,-7.480193597917553e-05,1.1279296875,0.05665343999862671,0.0,0.4140625
28,20000,28,2_Impossible,32.306107,10.8125,2.396106719970703e-05,0.03500541705627353,-0.00046124303186076757,1.1669921875,0.0778614692389965,0.0,0.43359375
29,20000,28,3_Hallucination,23.565079,10.8125,2.396106719970703e-05,0.031396676844074746,0.00047078196314023096,1.146484375,0.06332008121535182,0.0,0.4140625
30,20000,30,2_Impossible,37.314922,10.8125,2.384185791015625e-05,0.016619238492137357,-0.0014712918658294236,1.2841796875,0.08352760877460241,0.0,0.4296875
31,20000,30,3_Hallucination,27.340063,10.8125,2.288818359375e-05,0.023250376696877708,0.0004806915013444459,1.294921875,0.06268565449863672,0.0,0.44140625
