,step,layer,boundary,norm,boundary_entropy,max_prob,fisher,hessian,jacobian,grad_block,grad_align,vocab_align
0,Final,0,2_Impossible,0.0407072,10.8125,2.1219253540039062e-05,0.6770903616411514,-0.01352970285862387,1.2666015625,0.010893146740272641,0.0,0.1572265625
1,Final,0,3_Hallucination,0.05575598,10.8125,2.110004425048828e-05,0.8999252346486282,-0.04193909433427507,1.4404296875,0.0021674347954103723,0.0,0.1630859375
2,Final,2,2_Impossible,0.19057202,10.8125,2.09808349609375e-05,0.3967340388693279,-0.04025867356224614,1.21484375,0.016591496008913964,0.0,0.1748046875
3,Final,2,3_Hallucination,0.20559074,10.8125,2.1219253540039062e-05,0.5569989260660321,0.040357216272377316,1.1923828125,0.007533592142863199,0.0,0.1640625
4,Final,4,2_Impossible,0.48608294,10.8125,2.09808349609375e-05,0.2533618789052565,-0.03161679028680665,1.203125,0.017557846265845,0.0,0.177734375
5,Final,4,3_Hallucination,0.4211371,10.8125,2.1219253540039062e-05,0.36727094523847803,0.03119065309190692,1.2099609375,0.009456784464418888,0.0,0.169921875
6,Final,6,2_Impossible,0.8343473,10.8125,2.09808349609375e-05,0.21716146113919915,0.011860651250476736,1.328125,0.025031895143911242,0.0,0.1669921875
7,Final,6,3_Hallucination,0.6832219,10.8125,2.1576881408691406e-05,0.344688229284663,0.03061201236638164,1.1982421875,-0.0067462123988661915,0.0,0.1572265625
8,Final,8,2_Impossible,0.94589216,10.8125,2.1338462829589844e-05,0.19490455424122782,0.010670962969342359,1.1484375,0.02107169129885733,0.0,0.1826171875
9,Final,8,3_Hallucination,0.75565296,10.8125,2.1338462829589844e-05,0.278097435434966,0.02961752360709749,1.091796875,-0.00867121433839202,0.0,0.150390625
10,Final,10,2_Impossible,1.1605564,10.8125,2.1457672119140625e-05,0.1813751014291892,-0.0002661791162630739,1.1484375,0.026369067723862827,0.0,0.1748046875
11,Final,10,3_Hallucination,0.8714253,10.8125,2.1457672119140625e-05,0.22005084731737645,0.027463684711518253,1.078125,-0.006706605840008706,0.0,0.1669921875
12,Final,12,2_Impossible,1.3118222,10.8125,2.1576881408691406e-05,0.19470093452750004,-0.04273807699078938,1.1513671875,0.03120495332404971,0.0,0.1708984375
13,Final,12,3_Hallucination,0.969797,10.8125,2.1338462829589844e-05,0.17652497030247466,0.03739227004755233,1.0703125,-0.007943184289615601,0.0,0.177734375
14,Final,14,2_Impossible,1.427136,10.8125,2.181529998779297e-05,0.18288267336739247,-0.0451138630255054,1.1044921875,0.040635344572365284,0.0,0.173828125
15,Final,14,3_Hallucination,1.0356405,10.8125,2.1576881408691406e-05,0.1488029921824336,0.053037163519313146,1.0458984375,-5.467422306537628e-05,0.0,0.16796875
16,Final,16,2_Impossible,1.5602154,10.8125,2.1576881408691406e-05,0.16624718979571038,-0.04412669089048809,1.06640625,0.04803373385220766,0.0,0.18359375
17,Final,16,3_Hallucination,1.1586564,10.8125,2.1338462829589844e-05,0.17759965624635646,0.04430015755612925,1.03759765625,-0.0008206576167140156,0.0,0.1787109375
18,Final,18,2_Impossible,1.582937,10.8125,2.1457672119140625e-05,0.15434811160778195,-0.059615166338887464,1.0625,0.050614186096936464,0.0,0.173828125
19,Final,18,3_Hallucination,1.2161503,10.8125,2.1338462829589844e-05,0.16701070375879806,-0.0032301424263446324,1.03515625,0.006099838996306062,0.0,0.166015625
20,Final,20,2_Impossible,1.8617382,10.8125,2.1696090698242188e-05,0.15329443123561146,-0.02007277845692385,1.12109375,0.07631123624742031,0.0,0.1943359375
21,Final,20,3_Hallucination,1.4445783,10.8125,2.110004425048828e-05,0.15999388122760821,-0.0038907927103141535,1.03515625,0.011128005658974871,0.0,0.181640625
22,Final,22,2_Impossible,2.3895628,10.8125,2.384185791015625e-05,0.13546804373023846,0.0003600264639578776,1.189453125,0.09622248820960522,0.0,0.265625
23,Final,22,3_Hallucination,1.6820707,10.8125,2.1338462829589844e-05,0.1411874379032776,0.009503551911804495,1.0771484375,0.016102840716484934,0.0,0.2578125
24,Final,24,2_Impossible,2.665357,10.8125,2.3245811462402344e-05,0.11327926893394484,0.01620272112478067,1.083984375,0.09246543049812317,0.0,0.259765625
25,Final,24,3_Hallucination,1.7341584,10.8125,2.1219253540039062e-05,0.12757262419220147,0.007948595856539974,1.060546875,0.030022740364074707,0.0,0.24609375
26,Final,26,2_Impossible,2.7943778,10.8125,2.3126602172851562e-05,0.11619431998225677,0.016298133793305955,1.078125,0.09241596888750792,0.0,0.2421875
27,Final,26,3_Hallucination,1.7975353,10.8125,2.1338462829589844e-05,0.11824959990122841,0.013888470854555206,1.083984375,0.048178732860833406,0.0,0.2255859375
28,Final,28,2_Impossible,2.9396832,10.8125,2.3365020751953125e-05,0.10973130304973248,0.03242552253734794,1.1123046875,0.10669577121734619,0.0,0.2734375
29,Final,28,3_Hallucination,1.9997741,10.8125,2.1696090698242188e-05,0.10189768188840927,0.0015353721066760058,1.1015625,0.06766094733029604,0.0,0.23828125
30,Final,30,2_Impossible,3.5109446,10.8125,2.4199485778808594e-05,0.10315283160549879,0.019988194842606163,1.2421875,0.12344896607100964,0.0,0.34765625
31,Final,30,3_Hallucination,2.4653213,10.8125,2.2172927856445312e-05,0.11316317617998518,0.0545619126318658,1.2451171875,0.06837382167577744,0.0,0.294921875
